,PAR,date
6011,0.39666666700000003,7/1/15 0:00
6012,0.39933333299999996,7/1/15 0:30
6013,0.402,7/1/15 1:00
6014,0.40066666700000003,7/1/15 1:30
6015,0.39799999999999996,7/1/15 2:00
6016,0.39433333299999995,7/1/15 2:30
6017,0.4,7/1/15 3:00
6018,0.4005,7/1/15 3:30
6019,0.3985,7/1/15 4:00
6020,0.3995,7/1/15 4:30
6021,0.40016666700000003,7/1/15 5:00
6022,0.396,7/1/15 5:30
6023,12.46566667,7/1/15 6:00
6024,59.14833333,7/1/15 6:30
6025,120.11666670000001,7/1/15 7:00
6026,300.1,7/1/15 7:30
6027,577.35,7/1/15 8:00
6028,989.5,7/1/15 8:30
6029,1301.833333,7/1/15 9:00
6030,1410.666667,7/1/15 9:30
6031,1690.0,7/1/15 10:00
6032,1809.8333329999998,7/1/15 10:30
6033,1907.1666670000002,7/1/15 11:00
6034,2032.0,7/1/15 11:30
6035,1952.0,7/1/15 12:00
6036,1691.6666670000002,7/1/15 12:30
6037,1653.666667,7/1/15 13:00
6038,1873.5,7/1/15 13:30
6039,1827.3333329999998,7/1/15 14:00
6040,1687.1666670000002,7/1/15 14:30
6041,1499.333333,7/1/15 15:00
6042,1288.333333,7/1/15 15:30
6043,1060.0,7/1/15 16:00
6044,790.7666667000001,7/1/15 16:30
6045,551.7333332999999,7/1/15 17:00
6046,326.85,7/1/15 17:30
6047,115.75333329999998,7/1/15 18:00
6048,10.31666667,7/1/15 18:30
6049,0.42,7/1/15 19:00
6050,0.415,7/1/15 19:30
6051,0.414,7/1/15 20:00
6052,0.41166666700000004,7/1/15 20:30
6053,0.41233333299999997,7/1/15 21:00
6054,0.40583333299999996,7/1/15 21:30
6055,0.41066666700000004,7/1/15 22:00
6056,0.41283333299999997,7/1/15 22:30
6057,0.41116666700000004,7/1/15 23:00
6058,0.40933333299999997,7/1/15 23:30
6059,0.40683333299999996,7/2/15 0:00
6060,0.40566666700000004,7/2/15 0:30
6061,0.40399999999999997,7/2/15 1:00
6062,0.40283333299999996,7/2/15 1:30
6063,0.40133333299999996,7/2/15 2:00
6064,0.397,7/2/15 2:30
6065,0.39833333299999996,7/2/15 3:00
6066,0.39816666700000003,7/2/15 3:30
6067,0.3985,7/2/15 4:00
6068,0.397,7/2/15 4:30
6069,0.39933333299999996,7/2/15 5:00
6070,0.40183333299999996,7/2/15 5:30
6071,20.12783333,7/2/15 6:00
6072,182.2,7/2/15 6:30
6073,426.3166666999999,7/2/15 7:00
6074,434.58333330000005,7/2/15 7:30
6075,618.5166667000001,7/2/15 8:00
6076,724.2,7/2/15 8:30
6077,1021.833333,7/2/15 9:00
6078,1143.65,7/2/15 9:30
6079,1292.5,7/2/15 10:00
6080,1726.1666670000002,7/2/15 10:30
6081,1905.6666670000002,7/2/15 11:00
6082,2046.8333329999998,7/2/15 11:30
6083,1974.3333329999998,7/2/15 12:00
6084,1735.1666670000002,7/2/15 12:30
6085,1942.5,7/2/15 13:00
6086,1944.1666670000002,7/2/15 13:30
6087,1829.0,7/2/15 14:00
6088,1695.5,7/2/15 14:30
6089,1508.166667,7/2/15 15:00
6090,1238.666667,7/2/15 15:30
6091,573.3666667,7/2/15 16:00
6092,680.2166667,7/2/15 16:30
6093,533.6166667,7/2/15 17:00
6094,278.9,7/2/15 17:30
6095,101.125,7/2/15 18:00
6096,14.52583333,7/2/15 18:30
6097,0.423333333,7/2/15 19:00
6098,0.41233333299999997,7/2/15 19:30
6099,0.4105,7/2/15 20:00
6100,0.4075,7/2/15 20:30
6101,0.4065,7/2/15 21:00
6102,0.40299999999999997,7/2/15 21:30
6103,0.4015,7/2/15 22:00
6104,0.40416666700000003,7/2/15 22:30
6105,0.40183333299999996,7/2/15 23:00
6106,0.4085,7/2/15 23:30
6107,0.41166666700000004,7/3/15 0:00
6108,0.40366666700000003,7/3/15 0:30
6109,0.40266666700000003,7/3/15 1:00
6110,0.39733333299999996,7/3/15 1:30
6111,0.40166666700000003,7/3/15 2:00
6112,0.39883333299999996,7/3/15 2:30
6113,0.402,7/3/15 3:00
6114,0.39866666700000003,7/3/15 3:30
6115,0.4065,7/3/15 4:00
6116,0.396,7/3/15 4:30
6117,0.4015,7/3/15 5:00
6118,0.40116666700000003,7/3/15 5:30
6119,12.102,7/3/15 6:00
6120,149.55833330000002,7/3/15 6:30
6121,356.2333333,7/3/15 7:00
6122,617.3833333,7/3/15 7:30
6123,771.7666667000001,7/3/15 8:00
6124,1052.883333,7/3/15 8:30
6125,1094.333333,7/3/15 9:00
6126,1509.166667,7/3/15 9:30
6127,1597.166667,7/3/15 10:00
6128,1589.0,7/3/15 10:30
6129,1743.3333329999998,7/3/15 11:00
6130,1925.6666670000002,7/3/15 11:30
6131,1826.0,7/3/15 12:00
6132,1607.166667,7/3/15 12:30
6133,1730.1666670000002,7/3/15 13:00
6134,1554.333333,7/3/15 13:30
6135,826.85,7/3/15 14:00
6136,1666.833333,7/3/15 14:30
6137,1371.166667,7/3/15 15:00
6138,697.8666667,7/3/15 15:30
6139,435.9,7/3/15 16:00
6140,283.5833333,7/3/15 16:30
6141,261.5,7/3/15 17:00
6142,169.75,7/3/15 17:30
6143,66.505,7/3/15 18:00
6144,7.008666667000001,7/3/15 18:30
6145,0.41033333299999997,7/3/15 19:00
6146,0.40633333299999996,7/3/15 19:30
6147,0.40883333299999997,7/3/15 20:00
6148,0.4035,7/3/15 20:30
6149,0.40616666700000004,7/3/15 21:00
6150,0.40166666700000003,7/3/15 21:30
6151,0.4045,7/3/15 22:00
6152,0.40883333299999997,7/3/15 22:30
6153,0.41200000000000003,7/3/15 23:00
6154,0.40466666700000004,7/3/15 23:30
6155,0.40516666700000004,7/4/15 0:00
6156,0.40583333299999996,7/4/15 0:30
6157,0.40733333299999996,7/4/15 1:00
6158,0.40683333299999996,7/4/15 1:30
6159,0.40766666700000004,7/4/15 2:00
6160,0.40666666700000004,7/4/15 2:30
6161,0.41216666700000004,7/4/15 3:00
6162,0.40466666700000004,7/4/15 3:30
6163,0.41066666700000004,7/4/15 4:00
6164,0.40700000000000003,7/4/15 4:30
6165,0.40716666700000004,7/4/15 5:00
6166,0.42866666700000006,7/4/15 5:30
6167,17.81333333,7/4/15 6:00
6168,74.32833333,7/4/15 6:30
6169,152.75,7/4/15 7:00
6170,312.2,7/4/15 7:30
6171,442.13333330000006,7/4/15 8:00
6172,566.6833333,7/4/15 8:30
6173,430.9,7/4/15 9:00
6174,405.71666669999996,7/4/15 9:30
6175,677.2166667,7/4/15 10:00
6176,1023.166667,7/4/15 10:30
6177,1334.833333,7/4/15 11:00
6178,1716.5,7/4/15 11:30
6179,1186.333333,7/4/15 12:00
6180,1296.666667,7/4/15 12:30
6181,1738.6666670000002,7/4/15 13:00
6182,1838.8333329999998,7/4/15 13:30
6183,1293.0,7/4/15 14:00
6184,1439.0,7/4/15 14:30
6185,1283.166667,7/4/15 15:00
6186,966.3333332999998,7/4/15 15:30
6187,735.35,7/4/15 16:00
6188,576.9333333,7/4/15 16:30
6189,343.35,7/4/15 17:00
6190,197.41666669999998,7/4/15 17:30
6191,63.44,7/4/15 18:00
6192,5.202833333,7/4/15 18:30
6193,0.41183333299999997,7/4/15 19:00
6194,0.41383333299999997,7/4/15 19:30
6195,0.41916666700000005,7/4/15 20:00
6196,0.40733333299999996,7/4/15 20:30
6197,0.40633333299999996,7/4/15 21:00
6198,0.40916666700000004,7/4/15 21:30
6199,0.4185,7/4/15 22:00
6200,0.41183333299999997,7/4/15 22:30
6201,0.41516666700000004,7/4/15 23:00
6202,0.402,7/4/15 23:30
6203,0.40333333299999996,7/5/15 0:00
6204,0.40316666700000003,7/5/15 0:30
6205,0.4045,7/5/15 1:00
6206,0.41066666700000004,7/5/15 1:30
6207,0.40233333299999996,7/5/15 2:00
6208,0.40283333299999996,7/5/15 2:30
6209,0.40516666700000004,7/5/15 3:00
6210,0.41,7/5/15 3:30
6211,0.409,7/5/15 4:00
6212,0.4065,7/5/15 4:30
6213,0.4075,7/5/15 5:00
6214,0.409,7/5/15 5:30
6215,15.51616667,7/5/15 6:00
6216,91.575,7/5/15 6:30
6217,147.15,7/5/15 7:00
6218,193.2,7/5/15 7:30
6219,372.3,7/5/15 8:00
6220,655.5,7/5/15 8:30
6221,742.7833333,7/5/15 9:00
6222,765.7833333,7/5/15 9:30
6223,730.0333333,7/5/15 10:00
6224,792.3833333,7/5/15 10:30
6225,774.0,7/5/15 11:00
6226,1490.166667,7/5/15 11:30
6227,1445.0,7/5/15 12:00
6228,966.1333332999999,7/5/15 12:30
6229,912.7833332999999,7/5/15 13:00
6230,676.6333333,7/5/15 13:30
6231,1184.716667,7/5/15 14:00
