,PAR,date
4908,0.365333333,6/1/15 0:00
4909,0.367166667,6/1/15 0:30
4910,0.364333333,6/1/15 1:00
4911,0.362333333,6/1/15 1:30
4912,0.369166667,6/1/15 2:00
4913,0.367666667,6/1/15 2:30
4914,0.368333333,6/1/15 3:00
4915,0.368333333,6/1/15 3:30
4916,0.368833333,6/1/15 4:00
4917,0.364333333,6/1/15 4:30
4918,0.365,6/1/15 5:00
4919,0.841833333,6/1/15 5:30
4920,40.2025,6/1/15 6:00
4921,172.33333330000002,6/1/15 6:30
4922,308.35,6/1/15 7:00
4923,627.3833333,6/1/15 7:30
4924,645.7333332999999,6/1/15 8:00
4925,972.2833332999999,6/1/15 8:30
4926,869.1666667000002,6/1/15 9:00
4927,923.6,6/1/15 9:30
4928,1250.5,6/1/15 10:00
4929,1276.333333,6/1/15 10:30
4930,1344.333333,6/1/15 11:00
4931,1750.1666670000002,6/1/15 11:30
4932,1887.5,6/1/15 12:00
4933,1872.6666670000002,6/1/15 12:30
4934,1790.0,6/1/15 13:00
4935,1384.833333,6/1/15 13:30
4936,1525.166667,6/1/15 14:00
4937,1232.333333,6/1/15 14:30
4938,1290.666667,6/1/15 15:00
4939,916.1666667000002,6/1/15 15:30
4940,878.45,6/1/15 16:00
4941,518.7,6/1/15 16:30
4942,428.46666669999996,6/1/15 17:00
4943,298.7,6/1/15 17:30
4944,44.34,6/1/15 18:00
4945,5.187333333,6/1/15 18:30
4946,0.373666667,6/1/15 19:00
4947,0.372166667,6/1/15 19:30
4948,0.371166667,6/1/15 20:00
4949,0.369333333,6/1/15 20:30
4950,0.3705,6/1/15 21:00
4951,0.3705,6/1/15 21:30
4952,0.3655,6/1/15 22:00
4953,0.369166667,6/1/15 22:30
4954,0.371,6/1/15 23:00
4955,0.368666667,6/1/15 23:30
4956,0.3705,6/2/15 0:00
4957,0.374,6/2/15 0:30
4958,0.3665,6/2/15 1:00
4959,0.366833333,6/2/15 1:30
4960,0.372833333,6/2/15 2:00
4961,0.370666667,6/2/15 2:30
4962,0.368666667,6/2/15 3:00
4963,0.367333333,6/2/15 3:30
4964,0.371833333,6/2/15 4:00
4965,0.36616666700000006,6/2/15 4:30
4966,0.370666667,6/2/15 5:00
4967,1.041,6/2/15 5:30
4968,46.52566667,6/2/15 6:00
4969,227.5166667,6/2/15 6:30
4970,422.58333330000005,6/2/15 7:00
4971,473.33333330000005,6/2/15 7:30
4972,540.6833333,6/2/15 8:00
4973,492.2333333000001,6/2/15 8:30
4974,426.41666669999995,6/2/15 9:00
4975,857.35,6/2/15 9:30
4976,1068.483333,6/2/15 10:00
4977,1629.666667,6/2/15 10:30
4978,1063.2,6/2/15 11:00
4979,1476.833333,6/2/15 11:30
4980,1597.666667,6/2/15 12:00
4981,1391.0,6/2/15 12:30
4982,1483.0,6/2/15 13:00
4983,990.0,6/2/15 13:30
4984,840.5833332999998,6/2/15 14:00
4985,424.83333330000005,6/2/15 14:30
4986,426.25,6/2/15 15:00
4987,295.05,6/2/15 15:30
4988,373.8833333,6/2/15 16:00
4989,466.91666669999995,6/2/15 16:30
4990,258.3333333,6/2/15 17:00
4991,143.83333330000002,6/2/15 17:30
4992,49.88166667,6/2/15 18:00
4993,2.742,6/2/15 18:30
4994,0.369333333,6/2/15 19:00
4995,0.36700000000000005,6/2/15 19:30
4996,0.366833333,6/2/15 20:00
4997,0.367166667,6/2/15 20:30
4998,0.368,6/2/15 21:00
4999,0.36616666700000006,6/2/15 21:30
5000,0.3655,6/2/15 22:00
5001,0.369333333,6/2/15 22:30
5002,0.3685,6/2/15 23:00
5003,0.369166667,6/2/15 23:30
5004,0.371333333,6/3/15 0:00
5005,0.370333333,6/3/15 0:30
5006,0.367333333,6/3/15 1:00
5007,0.366,6/3/15 1:30
5008,0.367833333,6/3/15 2:00
5009,0.3635,6/3/15 2:30
5010,0.36316666700000005,6/3/15 3:00
5011,0.36066666700000005,6/3/15 3:30
5012,0.363833333,6/3/15 4:00
5013,0.3645,6/3/15 4:30
5014,0.3655,6/3/15 5:00
5015,0.4315,6/3/15 5:30
5016,17.56533333,6/3/15 6:00
5017,83.86166667,6/3/15 6:30
5018,171.3666667,6/3/15 7:00
5019,269.4333333,6/3/15 7:30
5020,366.1666667,6/3/15 8:00
5021,378.1166667,6/3/15 8:30
5022,484.41666669999995,6/3/15 9:00
5023,597.05,6/3/15 9:30
5024,993.5,6/3/15 10:00
5025,1674.5,6/3/15 10:30
5026,1312.333333,6/3/15 11:00
5027,1085.666667,6/3/15 11:30
5028,869.6833332999998,6/3/15 12:00
5029,1391.0,6/3/15 12:30
5030,1221.666667,6/3/15 13:00
5031,1220.333333,6/3/15 13:30
5032,943.1666667000002,6/3/15 14:00
5033,885.3333332999998,6/3/15 14:30
5034,809.2333332999999,6/3/15 15:00
5035,691.1666667000001,6/3/15 15:30
5036,552.5333333,6/3/15 16:00
5037,350.4166667,6/3/15 16:30
5038,257.85,6/3/15 17:00
5039,130.95,6/3/15 17:30
5040,46.06333333,6/3/15 18:00
5041,3.162,6/3/15 18:30
5042,0.369666667,6/3/15 19:00
5043,0.369833333,6/3/15 19:30
5044,0.3735,6/3/15 20:00
5045,0.373166667,6/3/15 20:30
5046,0.3735,6/3/15 21:00
5047,0.37,6/3/15 21:30
5048,0.370166667,6/3/15 22:00
5049,0.367833333,6/3/15 22:30
5050,0.367166667,6/3/15 23:00
5051,0.367666667,6/3/15 23:30
5052,0.370333333,6/4/15 0:00
5053,0.368666667,6/4/15 0:30
5054,0.368333333,6/4/15 1:00
5055,0.366,6/4/15 1:30
5056,0.368,6/4/15 2:00
5057,0.368333333,6/4/15 2:30
5058,0.367666667,6/4/15 3:00
5059,0.36700000000000005,6/4/15 3:30
5060,0.367666667,6/4/15 4:00
5061,0.364333333,6/4/15 4:30
5062,0.368,6/4/15 5:00
5063,0.5535,6/4/15 5:30
5064,18.26233333,6/4/15 6:00
5065,99.29333333,6/4/15 6:30
5066,225.75,6/4/15 7:00
5067,364.0666667,6/4/15 7:30
5068,560.7666667000001,6/4/15 8:00
5069,667.7,6/4/15 8:30
5070,899.1166667000001,6/4/15 9:00
5071,1027.4,6/4/15 9:30
5072,1238.833333,6/4/15 10:00
5073,1520.0,6/4/15 10:30
5074,1610.333333,6/4/15 11:00
5075,1626.666667,6/4/15 11:30
5076,1939.0,6/4/15 13:00
5077,1269.783333,6/4/15 13:30
5078,1832.8333329999998,6/11/15 13:30
5079,1539.666667,6/11/15 14:00
5080,1466.0,6/11/15 14:30
5081,1523.5,6/11/15 15:00
5082,1236.0,6/11/15 15:30
5083,1010.666667,6/11/15 16:00
5084,859.1166667000001,6/11/15 16:30
5085,541.7666667000001,6/11/15 17:00
5086,269.55,6/11/15 17:30
5087,50.905,6/11/15 18:00
5088,3.497,6/11/15 18:30
5089,0.4135,6/11/15 19:00
5090,0.41483333299999997,6/11/15 19:30
5091,0.41483333299999997,6/11/15 20:00
5092,0.40783333299999996,6/11/15 20:30
5093,0.40383333299999996,6/11/15 21:00
5094,0.40283333299999996,6/11/15 21:30
5095,0.40216666700000003,6/11/15 22:00
5096,0.39883333299999996,6/11/15 22:30
5097,0.40166666700000003,6/11/15 23:00
5098,0.40299999999999997,6/11/15 23:30
5099,0.40316666700000003,6/12/15 0:00
5100,0.39816666700000003,6/12/15 0:30
5101,0.39883333299999996,6/12/15 1:00
5102,0.394166667,6/12/15 1:30
5103,0.393666667,6/12/15 2:00
5104,0.3965,6/12/15 2:30
5105,0.3925,6/12/15 3:00
5106,0.394666667,6/12/15 3:30
5107,0.39399999999999996,6/12/15 4:00
5108,0.39866666700000003,6/12/15 4:30
5109,0.39233333299999995,6/12/15 5:00
5110,0.3935,6/12/15 5:30
5111,15.27866667,6/12/15 6:00
5112,96.11666667,6/12/15 6:30
5113,155.4666667,6/12/15 7:00
5114,200.9833333,6/12/15 7:30
5115,252.7833333,6/12/15 8:00
5116,416.15,6/12/15 8:30
