train_indices,valid_indices,test_indices
1991,14,1557
2213,2859,698
2009,2699,2639
2338,3740,2335
762,2627,279
2079,2276,318
769,711,2373
892,2686,3182
3760,801,1597
3427,3731,1706
927,2121,3896
526,1565,2556
3586,3099,2476
204,176,528
400,202,160
1449,2810,2764
2991,3292,2436
214,2077,691
3011,3163,1975
3114,1585,3736
959,208,1815
502,1323,3857
3406,367,1783
2319,2340,2902
661,763,2527
2442,1146,2095
2107,2744,2170
3274,2478,2429
2075,1163,1063
1920,465,2050
2747,706,561
3408,2437,32
29,2354,10
3411,1519,1674
1936,1466,2672
2119,1002,3625
337,80,1500
2223,1617,1343
2959,580,1055
2913,1014,1387
2187,913,232
2613,2058,1980
1205,1588,542
3922,2404,3323
964,3330,3716
939,3353,1302
1766,3398,3016
3648,3587,962
3002,3867,1060
74,1852,3050
1939,2487,2422
2120,414,3328
888,3210,673
509,3473,3662
1054,62,2453
3525,3592,3301
3861,2876,1688
368,1319,2300
3536,1176,2548
541,2005,961
3613,2226,3081
537,2568,3654
2363,1658,1224
1272,595,794
415,3892,2381
2420,3085,1261
2660,1806,2403
2495,3742,1183
504,2645,2635
499,3263,1944
760,652,3472
1050,1505,2979
2740,3461,2215
2386,1450,3739
1765,3052,1603
2263,643,783
1487,148,2510
281,2805,3627
336,4,479
3744,1445,458
809,61,2609
3308,3806,2369
2972,2795,1373
378,966,3343
631,310,2944
1170,2131,758
2695,1595,1680
3913,1177,3520
3024,2446,568
1044,1064,3105
1380,3715,3540
1288,742,164
1592,347,2619
1418,2380,3564
2220,3127,1676
2570,2837,22
2648,2230,1669
2848,1916,798
358,3169,3366
311,3463,3354
1776,335,226
2889,1422,1282
1430,2906,2547
3637,372,3125
2623,549,1900
3177,2954,3229
955,845,1076
2489,3377,3331
3561,525,3012
126,2128,2469
2367,977,2765
2503,1755,2938
191,1420,3798
1495,593,3341
2772,2069,2441
2416,1756,3779
1801,171,2103
3093,1792,1235
1298,145,732
839,2025,2112
2173,2287,1359
3698,2061,754
2720,1400,656
3359,349,466
1547,2998,3920
371,1008,919
1566,3212,3066
904,1339,106
1035,559,3634
3070,21,1556
382,3632,2501
3288,2143,655
135,2736,1715
2838,331,597
2509,1817,3741
2622,3690,2351
2277,2044,1389
1197,3157,3849
890,3680,1368
3443,201,54
3430,330,3670
1518,2858,2015
1735,678,316
1353,1457,1579
3535,3470,753
2673,3295,2768
1908,3283,1281
3550,3436,1372
574,667,2883
1356,249,2525
3513,2696,815
2217,1884,3555
1897,2717,2402
2679,2929,3370
572,3040,3859
3325,1849,2574
3396,557,3258
2423,3060,1100
1310,3707,334
635,3639,1218
602,2987,151
1894,865,1992
2580,708,3569
1774,2377,3110
669,2458,840
3019,788,2214
570,3696,1159
2293,1994,1672
1431,1694,831
1938,43,1976
775,1279,1354
1426,1165,3221
2791,3931,3389
2116,3761,984
3392,2374,1181
1699,2462,3447
401,590,2364
3676,1686,3356
1989,3227,3813
2575,1638,799
321,3557,3496
1026,1830,2352
3521,3759,2305
3791,2043,3422
2001,998,3903
1656,866,1868
3265,3022,1814
3475,469,3435
1228,2117,2811
584,668,3332
3192,1762,1973
1906,3387,567
1942,369,1854
2194,413,887
1250,1016,3226
2528,3845,3562
1697,3154,2150
1957,886,3827
1158,2506,3162
69,1145,544
2029,626,265
1534,1510,3289
1964,3167,2246
1268,3876,1859
3582,103,2057
3788,205,3244
471,1486,3138
693,1303,200
710,2865,2219
2179,391,1352
3699,1800,3438
324,2577,2449
1363,3086,1567
2454,2632,3597
3223,3655,2065
621,243,1584
3734,1527,2490
1717,3665,949
2323,28,3658
695,1332,1467
3135,3034,2924
1858,220,121
1781,2796,2738
3020,1337,1633
3906,3459,3534
569,1084,622
143,1203,842
1195,1051,3527
1249,1789,2665
957,3439,1630
3296,719,1959
2804,2725,1685
3868,3340,2235
3675,2491,141
2202,3836,3247
2897,1429,2755
811,707,3386
1415,2406,3195
3284,270,3694
1223,1087,2905
515,2512,1922
2118,3407,3563
721,1237,2638
757,2055,188
115,1977,712
2593,2502,3189
90,373,3145
3042,179,2306
2646,1498,644
329,681,1799
1278,1571,897
953,3577,943
3000,2210,2072
66,2090,37
2450,1650,1857
819,3098,3576
273,2610,3916
1988,1998,2855
3796,1654,2427
1876,1893,3380
823,445,1306
1760,1222,2376
114,1048,553
3790,26,1723
1509,2254,1719
2207,1474,1773
2935,3589,1416
3869,3635,511
194,157,1301
903,1154,2797
1308,993,113
388,2127,2294
3881,1329,1829
2507,1296,33
530,685,3877
2871,2101,2066
3262,175,2248
1741,91,1233
599,2814,2891
2698,1180,99
944,873,1700
2231,1626,2960
1314,871,781
3051,735,976
3300,2279,386
3494,2326,3784
2701,2147,1117
2333,3717,3173
3293,2165,2996
2102,1032,3773
70,737,1790
1847,1245,2591
1808,3815,2691
1929,3256,3821
899,3708,3417
486,2704,527
3528,3399,116
1370,3571,2190
741,389,3126
1632,1888,1305
1217,1645,1555
346,209,3279
350,3054,650
2324,2140,1166
902,3003,1264
2569,1621,1046
2842,1986,3899
3023,808,3208
2942,3294,286
3926,2053,2914
