train_indices,valid_indices,test_indices
596,1246,2588
1882,610,887
2831,1166,576
3285,243,1117
1227,2524,1783
929,1810,2998
789,1814,390
1256,3317,619
1258,1601,1298
669,2724,2971
974,2601,681
3292,2060,2021
632,1359,653
1313,694,2490
473,803,2910
2567,2287,1838
3345,296,2012
1853,2914,2433
2573,2180,3072
247,3138,2661
3161,32,1943
1087,2449,2168
2493,2580,1739
2395,2699,2207
3156,3465,1462
1932,1209,3371
1405,2306,2459
1602,563,2420
3388,2176,336
300,2794,668
1204,814,2058
2316,2116,1479
241,2519,82
2461,393,2749
1155,73,1129
2186,384,3165
2356,479,2841
2481,3491,3335
1034,1009,3026
3035,1080,2890
1506,3091,2855
1267,2622,39
345,1946,308
2522,462,2583
2194,2363,775
3175,3361,2157
843,2898,1871
3194,3033,1395
2453,2088,1305
639,3303,3182
1835,2657,1742
624,1107,755
3413,2330,1450
2131,297,3499
2048,315,1381
1029,588,1716
2574,1301,1898
1937,1897,3214
2220,2109,937
323,2770,817
2348,509,3067
1177,2839,2689
1153,2375,3179
848,1952,772
654,1304,2968
1926,2940,1822
852,1232,1606
2292,2507,107
723,1846,486
2845,201,3475
2874,1223,147
3509,2197,3197
1546,2903,2122
2778,1715,760
842,280,2474
944,3464,480
2463,318,2137
2642,882,2919
614,794,709
1681,591,2254
2515,1772,2018
149,3254,3535
623,822,392
3189,1792,2288
874,1386,2762
252,3487,2666
329,3360,3051
141,2982,660
757,1628,3442
2320,2619,834
208,2672,1961
307,1291,2628
2592,1362,264
1125,1722,2367
2913,1982,2598
1727,80,2418
917,2477,3068
469,3313,756
913,3083,3473
1146,1787,607
301,1243,376
199,1599,330
1033,46,950
3350,2949,183
449,3134,450
612,2850,673
2769,3297,2020
2714,377,1941
1014,1474,2247
92,2663,1627
2370,1102,1630
3115,2572,2835
2133,3321,2442
1650,430,64
3256,1677,821
1333,3211,3022
3385,2080,736
2881,1684,902
493,3202,1621
3087,97,3044
3245,1702,1118
1429,504,3186
2365,2496,75
2421,507,2248
140,346,1532
2051,365,883
1740,13,1800
2387,1951,1754
754,1736,1391
482,1276,123
1540,1544,1640
3450,2533,2906
2606,2774,426
1206,1566,2995
2458,3114,2299
767,1689,2644
1907,2745,2107
549,774,3468
1221,2577,2081
2530,1731,2907
1549,543,2057
2594,562,2242
1006,3439,387
1039,3097,1620
3474,3470,526
3039,617,403
701,4,2279
1470,2660,3028
2127,1604,2603
2502,752,2428
122,1592,1356
232,1193,692
1499,532,3452
1568,1174,163
3000,730,1748
564,3162,3325
2118,2005,2282
1530,190,574
58,1817,2019
3121,1511,2571
2281,2700,896
1414,1390,1208
44,250,892
3514,3311,3181
987,1989,885
30,3208,542
3441,1122,2977
565,513,1092
1233,1372,3279
2090,512,2044
3248,224,1508
3489,2696,870
3379,1574,2771
2863,3408,24
1776,1865,2413
2446,2760,702
546,1351,74
2986,2269,3351
2513,1435,1718
2113,2611,3129
1984,136,27
2195,1018,3131
114,957,2224
1271,2142,2505
3167,2726,1590
1820,1966,597
3471,2115,753
414,503,2355
719,2294,750
1915,83,2684
2240,947,952
1587,2097,3213
2836,444,1920
2407,2416,303
3293,889,1399
1454,6,2211
2744,630,2078
254,961,3438
1965,3236,823
1972,1734,1816
984,164,3357
2871,2256,800
2969,1112,412
3372,2236,828
1021,3178,566
1448,3090,1059
3180,3515,1583
2357,3460,868
2261,521,1185
1864,2967,1330
1774,677,2475
1178,2929,3480
1213,1726,2313
2171,2125,1401
386,3215,2992
2646,1413,2162
3259,3290,3080
1891,3029,2795
2509,1927,500
771,3157,1634
2200,2163,314
1392,1498,328
888,737,1481
152,3534,1752
2221,1493,2847
1336,2553,3150
2765,3122,779
990,1725,3305
1895,1615,364
3229,956,1517
2432,2218,2941
1649,2352,1760
221,2637,634
903,223,2616
933,538,2249
1977,1643,1415
2605,1976,3384
2824,2165,523
3511,2260,1003
1106,1698,1944
3016,661,2212
3043,1138,829
1220,1042,22
820,3014,2854
1279,1680,294
907,2827,1556
1145,980,2086
457,2535,1623
2546,265,3492
1374,1158,175
