train_indices,valid_indices,test_indices
86,3238,354
2150,2957,1489
503,2760,1276
1788,438,2717
1418,1953,921
3126,3536,3477
1311,2900,298
559,1351,2184
2352,558,1757
1540,2953,1026
1898,3117,827
1370,1583,2229
3303,572,349
324,3290,3275
1235,1162,2595
1240,1834,1078
2588,3220,2037
1937,1343,1928
636,2094,1142
1056,1182,2683
2778,38,2302
1803,1112,200
2837,1525,1208
1608,1015,1621
195,815,485
2849,3282,2959
1645,808,2169
774,476,2160
60,12,1653
1466,950,3480
3267,564,649
2243,3060,1242
660,1010,1457
1172,2088,133
249,3396,2779
2865,1531,2537
121,1279,3173
363,2795,30
2918,471,404
3242,1151,188
2543,2333,2104
940,908,2265
1298,2613,3357
2315,1064,777
676,1373,1986
1689,18,222
621,1708,1642
1259,3263,3368
3155,964,2937
2567,1189,3029
420,2801,3019
2145,2925,1744
48,575,1485
1170,1893,322
894,1696,2016
3353,2510,1620
2311,82,2922
2486,2620,2881
2002,394,3198
960,3337,2628
288,1494,1819
2308,2629,1344
3181,803,202
3033,3104,2600
2839,2457,2360
545,226,1301
1539,523,1851
3520,883,163
230,2474,2361
2796,346,3215
1492,1295,2523
732,2208,3142
1536,630,3447
1282,3223,971
371,3513,429
219,1954,1560
2007,3465,2809
1762,2982,2019
2204,1563,3158
2413,2909,1994
1587,741,1651
1335,1420,1386
131,601,2407
569,2635,2623
2950,2855,725
849,11,800
2466,739,669
1183,560,2533
2023,497,2111
791,1138,1887
2589,3042,2858
2723,510,2274
14,3348,296
382,759,2001
1723,2158,1596
1568,140,3251
1796,2587,2424
3342,1605,1325
729,2924,154
2580,2154,3264
303,1253,3240
875,3531,2649
2548,1896,2516
166,1141,2156
1604,1936,3308
1271,1724,926
1545,1354,2682
1572,1401,1978
2564,1662,1394
2666,1207,2317
1155,2832,2384
2334,3434,2878
352,3233,1076
282,3506,526
3271,2376,2387
201,978,141
146,111,2802
3007,2049,1821
2798,2048,2193
1464,1686,1181
1423,838,3048
1168,3156,2695
2824,2188,656
2461,2944,2268
877,3269,1356
2997,1153,1905
604,3058,885
1870,615,3228
2503,1973,1846
1514,3283,1086
2675,1310,895
3018,1959,2799
3483,3318,2329
63,991,2218
3225,1958,3394
2267,2875,1951
1932,284,956
3390,2544,2961
2270,1622,1043
522,3138,1230
3037,3288,3258
2527,583,1840
2219,255,938
2739,2960,839
1463,240,1096
281,3488,295
1842,3278,2602
765,3036,3067
720,127,3266
1895,3489,223
1119,407,72
2912,2696,3295
3208,822,2728
3184,2833,212
2515,418,1715
764,3524,1470
3039,1036,3334
150,2341,3328
2853,1184,1134
2083,3076,1450
2250,3100,498
221,1188,2898
2497,1551,2276
2753,3484,3436
457,2506,1461
2236,406,2227
862,3122,1729
1038,2965,3397
1839,850,2404
2590,945,1222
77,3268,3291
2513,534,2393
2374,1412,3273
719,3370,99
2743,3388,635
2422,242,1487
3408,671,2829
1760,2654,1380
590,2941,2303
2337,2026,2034
1929,910,1808
1123,1701,2894
2305,911,6
1640,3399,1065
3044,1028,1699
2297,3186,547
2973,3195,606
2225,3130,1841
502,2568,3314
1704,1660,3128
213,3077,2945
2012,2885,1535
3256,942,3468
3124,1454,1315
2277,2966,182
3056,2826,137
628,2355,2172
968,3413,455
351,2504,3108
2690,2814,1342
1114,333,2638
1883,3218,3375
939,3307,1748
71,1213,2698
325,3501,192
73,138,104
1938,3420,2612
427,3031,3496
1419,1308,776
2394,2168,27
1590,494,1269
2709,56,1267
2661,95,591
1205,1742,3
2166,2913,1480
737,3521,1852
350,2561,396
1962,3407,1897
1231,2749,1030
203,2128,3257
695,129,1424
3024,294,3204
2117,2339,1468
1732,2884,2263
1683,819,1726
16,2216,3508
231,3226,2501
2771,2574,2685
3311,2863,1434
963,3402,846
1254,1053,1167
2080,714,2888
216,886,1406
904,3487,2818
2196,3139,3070
1326,2373,928
2693,3324,2345
2000,728,3169
2968,3221,1866
711,2273,2416
2281,2079,2454
524,941,2774
2256,2611,651
2910,304,2686
3392,1855,1644
2616,199,2664
424,835,1912
3189,3088,3449
1558,2637,1942
2936,2938,1806
3148,2692,2622
3377,243,736
2745,1456,1442
234,2517,28
2816,816,241
153,612,3199
1771,2805,2905
2272,2406,3440
1224,1730,3382
332,775,1512
550,70,2081
614,1804,3080
668,976,1146
1058,1106,94
2068,2581,1694
1789,2874,395
338,1722,2090
966,2397,1402
878,1521,1658
2672,495,2174
317,105,3118
194,3084,2830
91,1553,2659
3008,1164,3277
2209,1395,2214
3431,2186,408
2990,756,425
256,1988,2405
794,891,1349
2185,3141,3101
102,2719,2525
1721,2694,3444
290,3160,215
1522,2583,1976
445,1773,1516
1886,2651,1256
3442,961,753
2558,397,1031
1032,658,562
2591,2759,125
3299,1360,3188
2328,403,3090
988,3362,3071
1045,2369,782
2054,662,687
1884,1550,778
2358,1579,2812
984,3265,3089
3349,450,3537
1606,1047,1333
2239,3072,1827
1280,1309,989
1417,901,2300
1446,2553,1075
2873,1872,3446
1611,2604,2141
2299,585,3380
2304,902,159
2577,3154,2375
2327,171,2531
462,2931,2726
801,2157,595
147,1528,2324
274,1148,3217
3386,2624,107
2161,2993,3445
2857,3280,684
164,2740,3422
2258,1439,3205
616,414,533
3206,2057,2536
2383,2136,1542
177,2592,1
804,2976,3336
1860,1831,2433
2916,2388,1196
2284,1040,3014
1166,2808,2539
1287,1811,1220
2813,871,1577
3059,92,2706
443,1578,2716
1068,2415,475
17,555,1710
3203,2409,740
763,3106,1185
2469,992,2791
797,2310,834
1488,482,1080
1575,1752,1422
1790,2335,2556
3316,751,360
436,557,3319
1624,504,286
2455,2021,496
1389,1203,2313
1397,708,3459
2368,409,673
2430,25,84
2662,3379,1987
2571,1219,586
2363,1914,2015
2724,2904,2614
2099,421,1636
1649,1544,1740
2089,3395,1128
2059,2254,3201
3127,3293,1176
1547,156,681
814,2794,2217
2789,321,3061
3246,1899,3109
3105,3361,2010
1140,1684,1051
3427,892,1416
81,2979,3498
3312,2669,600
1566,811,1777
2245,1517,444
2343,2676,148
1362,1415,2946
2122,2259,2275
2781,1582,337
1759,3231,1104
1779,2607,3102
1692,2632,865
1339,2962,2235
254,279,563
568,589,1008
1300,1251,2177
610,1460,959
3210,1297,458
1861,283,969
3393,1012,916
1629,1853,1458
1534,89,3345
1130,3376,2123
1975,416,1682
2882,3516,2395
1615,3398,1812
2390,521,2736
1930,1085,1195
1428,2773,2785
2496,2442,2149
3301,1071,1664
2908,23,2338
1041,3192,1889
2942,2727,546
3346,3213,1700
2280,152,2246
1691,3174,2187
1832,3006,2194
2763,2977,952
2811,1218,44
1782,373,3274
3219,3429,2671
3163,2354,2087
3372,2367,1585
2679,3135,3458
1618,2747,1926
2484,391,2573
702,907,2109
1022,472,3419
975,1766,1826
890,451,2288
1072,469,512
1919,1388,1154
701,1739,2896
320,2772,2954
987,1024,1462
1952,2599,880
53,923,2780
2120,151,3057
582,31,2765
3373,1391,2062
1612,1688,1246
1329,2951,224
2417,2063,2579
2323,238,315
1382,3030,3103
3292,2425,2563
2463,577,3287
626,773,3236
74,3175,3462
1165,3249,1173
3081,142,1592
1878,381,2975
879,208,47
2498,2653,375
3426,2475,2756
383,2940,3428
3510,2148,1313
2617,24,1564
1014,1091,3507
996,3147,2707
917,909,1322
1632,3321,1548
613,191,342
2555,2041,3172
1340,2985,1993
2437,1695,1793
3404,3405,2159
3504,1561,831
2585,1685,2509
128,686,3424
3120,2233,2512
2448,2605,532
1787,1569,1136
1873,486,348
2594,1066,447
2903,2301,364
2841,2349,1449
722,1212,1983
2201,2862,3410
42,3097,39
3262,995,2886
2967,598,308
3255,2069,1197
933,2995,552
2810,2732,3285
1858,1042,3132
2956,538,3300
913,2502,802
799,2200,2452
789,1249,1979
3305,2930,2306
873,1508,1944
2353,1960,2507
2471,365,2011
3325,1931,467
1477,1430,245
2351,3247,2097
2251,631,1387
3493,3441,787
3152,1810,2825
2827,3063,784
793,96,2321
3197,1712,489
2295,1633,2650
1769,1764,1871
2911,730,531
2134,211,2056
413,3466,285
944,2869,257
647,135,1825
1312,2835,1073
2670,829,694
331,3074,2283
594,1302,183
1753,252,1018
292,922,2439
2371,2420,3168
3423,2155,3091
3241,2656,3343
1600,2183,1947
2499,1503,36
3522,3331,174
2914,1455,1198
1273,2261,1529
1202,2082,3400
1607,1843,1674
1623,611,2202
1909,652,2870
273,3136,1703
1824,3415,2958
734,3418,1248
1626,3358,232
1332,1639,2024
1925,2721,2129
2619,3538,1588
1617,454,1265
2644,726,3078
1783,1245,2027
1228,1833,160
1467,1190,1731
3051,3166,735
1837,2139,1552
1981,1881,1062
1328,539,644
633,2092,3068
1440,3149,170
537,-1,-1
3351,-1,-1
441,-1,-1
3043,-1,-1
3539,-1,-1
1786,-1,-1
1654,-1,-1
2657,-1,-1
2456,-1,-1
2197,-1,-1
517,-1,-1
2701,-1,-1
3045,-1,-1
2356,-1,-1
1915,-1,-1
2309,-1,-1
2410,-1,-1
287,-1,-1
1992,-1,-1
2028,-1,-1
1513,-1,-1
1474,-1,-1
1001,-1,-1
1913,-1,-1
810,-1,-1
187,-1,-1
34,-1,-1
549,-1,-1
1939,-1,-1
717,-1,-1
1178,-1,-1
713,-1,-1
1591,-1,-1
2559,-1,-1
3178,-1,-1
689,-1,-1
3040,-1,-1
3144,-1,-1
2897,-1,-1
2530,-1,-1
306,-1,-1
3261,-1,-1
2838,-1,-1
2572,-1,-1
2761,-1,-1
617,-1,-1
1775,-1,-1
4,-1,-1
2907,-1,-1
2126,-1,-1
828,-1,-1
1628,-1,-1
1677,-1,-1
1261,-1,-1
1284,-1,-1
103,-1,-1
184,-1,-1
3534,-1,-1
3161,-1,-1
2819,-1,-1
302,-1,-1
1046,-1,-1
1725,-1,-1
1679,-1,-1
1613,-1,-1
3320,-1,-1
