train_indices,valid_indices,test_indices
862,514,2125
2783,3191,3203
1212,1236,3651
1431,1741,2290
3779,1217,152
1792,2345,78
2305,3428,2434
2450,1106,548
2468,273,2677
904,760,843
3417,1898,1491
875,1652,3283
3628,2732,827
1004,1459,747
3477,3669,1259
1061,1489,3762
1869,1812,3496
276,2641,79
1536,1844,2175
810,398,2838
2509,730,58
1588,925,2584
620,298,3572
1274,264,362
148,603,1894
2646,2511,2810
681,1345,961
3532,1900,445
2276,2088,3819
3707,3812,2209
1456,3240,155
431,425,3636
2446,450,2522
159,1935,3658
2367,1665,127
305,1613,2857
1465,3587,3170
944,92,2359
424,2288,49
3721,3482,2751
56,582,512
887,1372,3534
1586,2674,3937
145,1487,1308
182,1401,2364
274,1865,2685
1209,2687,4
3540,1638,1626
2303,535,631
1686,3236,2600
717,1496,2585
3840,3451,2372
633,3875,3132
1913,787,324
840,640,3709
2107,2199,3277
2011,939,2934
1261,1077,1000
2658,1672,2724
1455,3377,2441
2529,3952,3401
774,2164,525
508,3563,983
556,3042,1787
816,2105,1949
784,736,2408
3672,1560,526
463,3436,3185
1395,452,1975
3258,3083,2040
2118,436,1387
1156,1351,1520
477,3101,2063
641,2500,1758
2502,3033,1639
1075,2330,109
63,3000,1784
3274,124,3462
2541,1082,3944
3550,2217,1534
1744,1809,437
3577,409,921
2014,704,3492
1567,1095,1282
532,1678,344
3009,157,865
3425,2594,984
3878,399,560
2565,2193,541
3344,1363,1991
2318,1155,3545
806,373,2865
73,859,3422
3820,311,3378
134,1981,2141
1326,2256,474
2640,1483,2424
2602,2461,2743
2388,387,1503
2391,769,1403
2673,1833,3282
3198,2835,3579
1021,1425,3749
2762,3557,1335
1149,3075,1514
718,3376,1589
1732,2633,1747
1548,177,1542
749,1384,970
2712,219,1846
2375,1321,3263
1176,426,1881
3914,1443,11
929,1196,867
3710,1775,1281
2032,2097,667
3098,2451,3097
1624,3830,2202
3221,562,3815
2229,2095,2238
3001,2224,2183
