train_indices,valid_indices,test_indices
13867,21366,16496
13893,3861,4109
27117,22357,7635
2206,10563,6099
3721,21422,15408
13536,13561,22159
2335,8386,28553
2839,23017,17012
3164,19266,12158
16348,1624,19933
12807,2233,26942
3644,24481,4078
1905,25567,9209
23058,23939,13390
11451,22554,8398
4091,4347,19820
12369,9329,10150
17633,28022,1059
15186,12127,10347
21596,20980,17753
16469,21411,12757
22629,27763,4297
8820,12764,8891
13185,2977,7479
7611,19844,535
20615,8651,10396
286,1948,12237
20206,15882,15559
14699,13292,1475
3231,11872,27612
1032,26604,1734
14172,17897,6479
18486,7030,19301
15413,22348,12091
6725,17725,28101
17000,17160,24517
26373,25927,4578
11505,16947,11567
27023,21196,21579
21894,11790,24768
12136,27325,4803
15607,11843,19066
27025,15123,12186
1199,10642,18606
7683,15574,28520
17839,16485,22661
25747,13232,21848
21369,20455,356
27816,13944,4587
14553,4520,14951
15575,8271,27657
25804,11191,3492
15314,20664,7694
10298,13366,7259
8657,6912,28542
14280,1079,12965
13933,103,25851
3205,15496,14421
4673,16671,19407
16454,12424,11222
21358,18749,16191
28424,9843,6668
24045,24256,1002
25634,200,13775
13910,24201,16817
6574,14722,14056
9922,7205,27972
21240,6056,23802
25749,24867,20541
27759,550,25674
4444,26256,22014
24683,11401,22292
22188,27775,4208
873,16651,3307
2494,5810,18454
28529,25796,4292
4198,21975,9629
4991,15645,7650
20566,9786,17131
19674,14793,14887
21631,19062,13821
9578,13126,23437
14455,18629,26648
8672,385,3578
13033,14628,14922
25198,17620,16321
968,16511,27547
4313,20634,24878
26436,22789,1470
2743,4082,13144
27639,5702,6250
21876,22491,8329
22051,13885,21074
1554,1481,19809
27292,26503,20858
13173,7213,20199
9526,20886,17592
3539,10031,18661
17916,21499,8723
22367,21161,25733
6846,2690,24853
16298,10927,21222
19829,18064,25559
18656,14768,5426
3588,3793,24671
17829,20355,12439
25724,22686,949
27737,27849,27188
28125,11519,9025
8904,24928,24718
4736,18464,10588
14355,1073,11680
18741,27479,13645
25895,13822,12599
5487,21670,26635
1777,8669,4268
28131,7308,5533
16868,11571,22447
12849,13648,24364
2186,3260,2167
22444,26437,3058
1915,7310,13958
3665,13458,11301
5691,27043,20721
12815,26645,8868
23383,3329,15193
23037,8241,3014
22612,20122,3777
2972,22266,12565
7577,19472,11718
27854,6811,3261
25147,11234,10465
21241,24511,27953
21762,19754,11124
27475,12,13552
21628,14347,26696
5298,10641,21363
17103,5075,702
11278,7186,17477
21940,1906,19482
22094,16452,27944
20447,7565,12653
20342,14635,373
27285,25668,17003
24469,1768,2708
627,189,8882
15739,11927,807
18463,5838,7063
3531,1468,17850
27363,11709,21426
11495,8082,12427
26416,3455,4749
24724,12510,26188
12373,14974,12924
25505,2192,26724
6230,2466,729
4234,25865,10649
2287,18135,15348
25738,20066,21679
8211,10043,11739
8470,18747,10140
24429,1019,16217
26576,23751,19682
19582,24553,3144
19709,16683,19060
27416,13982,11983
21492,9851,264
6564,16639,6145
20922,1262,26219
15548,5443,26044
2726,16346,20719
2574,15613,18952
8397,28532,448
23177,27504,19153
6220,723,10452
6791,3618,24660
12605,7494,17502
27531,19887,10579
13977,7002,22386
214,16604,10326
15422,7461,26764
7132,3850,25601
21771,25628,7585
22762,21701,10564
25959,20201,9141
5410,11196,17551
16252,12224,16031
21726,19849,5848
16609,13440,26467
27969,8703,15375
17124,3818,12413
5314,6873,16470
7821,18,6420
1814,28469,15716
13453,394,1284
17106,24173,3527
17254,2217,6547
8278,28274,471
9062,4808,18673
9350,16066,3149
684,25561,21997
15299,17230,4763
18376,2714,12659
5239,25364,15879
18817,28449,23905
26886,4,26788
20703,4822,25610
23530,1448,19305
12416,21272,20439
24825,21715,7092
6643,22178,21842
18518,19542,26428
6004,3845,266
6999,13089,14411
24813,19986,7137
2749,14095,16387
11243,28091,21302
16029,3749,28008
4912,7291,5108
495,17285,25472
439,1482,8665
11803,9150,15517
5102,13774,9172
4726,6906,13103
17326,17730,25924
5048,25077,1631
8645,3900,1670
9846,11438,17724
14917,15447,9353
20467,1452,26651
23551,27725,3912
27296,25,9360
10758,23408,14663
26452,19273,22123
17233,19910,7372
15324,13506,25039
4827,20793,24277
1266,3173,28032
24117,709,21016
15441,22771,20317
8912,18072,9241
2919,11738,16931
26330,11139,20785
5029,13618,25737
1756,23432,23559
12289,23161,23885
21321,5111,15793
28327,10488,15175
18143,23023,4210
24263,24736,6133
17149,11035,15387
19398,2617,17806
12234,4597,23841
8430,9829,23938
10085,12321,3007
17488,15695,23295
7478,23287,9301
18167,17001,18577
18996,17309,17564
7584,7188,9743
18238,26710,15189
20159,8628,9471
10635,5970,24618
7367,6242,1227
24125,18594,7920
3413,26388,5612
10975,13713,8264
20065,2169,18026
2935,22586,28505
11737,1889,19048
12595,6149,7345
12371,3925,10080
9067,22361,21270
24089,9974,26135
12085,19400,21146
14071,20618,4340
20412,13640,14372
3872,19897,618
8454,22200,16307
18645,18823,18822
3266,5560,11363
5139,11886,2520
17462,3353,14220
8145,15755,115
22177,5862,2105
20263,18828,27082
12433,5619,2512
10008,18388,18798
1213,15298,7042
20476,17901,10842
17617,23156,18694
16023,24166,25134
14032,25085,18926
17522,25973,25149
15338,4073,19447
20883,16009,15550
13447,9479,24764
10943,7158,3704
11131,1136,6774
27979,18547,4667
12152,14002,1428
10409,16626,19869
21261,23105,24991
4223,21532,23435
13288,15382,20543
21658,11056,20787
10567,18043,2463
11615,23130,13174
22476,5153,194
2628,18160,18126
17069,19150,23101
2285,1678,21979
130,11742,26083
12068,26914,11703
20599,13514,23469
20686,19240,12753
3562,724,19112
4493,27247,18630
3168,5050,23183
3894,3789,1147
17877,24979,18860
4338,3827,10007
7725,496,4218
