epoch,train_loss,valid_loss,learning_rate,time_taken
1,72.33100373789904,57.93794395386255,0.001,1025.0999264999991
2,56.00606639837839,47.7638148131128,0.001,1003.1490044999955
3,47.87581961939653,46.502226711598944,0.001,1058.6894890000112
4,41.19792526198962,35.215600719086986,0.001,1054.7546339999972
5,37.44408348964266,38.60739540352868,0.001,1056.7303715000016
6,35.453412335334164,32.67577874899689,0.001,905.3877906000125
7,33.69792857498391,30.603054841433625,0.001,865.4833662000019
8,32.5219568305299,28.73751713569844,0.001,812.9414306000108
9,30.899150119627198,29.70141582693722,0.001,769.0120544000092
10,29.63937337495918,26.756417216177695,0.001,793.0149888000014
11,28.981673892799197,26.409563512263652,0.001,793.5092723999987
12,27.5345554192551,25.538996108602934,0.001,776.9016979000007
13,26.833901934644935,23.458117950090557,0.001,772.7541551000031
14,26.473310309894966,22.925789594984032,0.001,789.2816845999914
15,25.69190061500648,23.35518028465766,0.001,872.1113461000059
16,25.058432635066094,21.572187712077945,0.001,954.6081922000012
17,24.31150202781914,21.986818340299735,0.001,910.5925522000034
18,23.8945444227308,20.30123091656306,0.001,869.3871796000021
19,23.39579639231692,20.67782284197716,0.001,795.6218859000073
20,23.12291317215908,21.8118247140305,0.001,770.850134399996
21,22.6756593393246,25.407790772780267,0.001,784.2039144000009
22,22.31187256803084,20.021043989294554,0.001,772.2936238999973
23,21.568028906847047,19.033871661376242,0.001,781.286517600005
24,21.737300568786562,18.36347140455936,0.001,777.2902742000006
25,21.06573355433333,19.038750130942198,0.001,785.9503318999923
26,20.80653545600308,18.408096437191663,0.001,777.5096833999996
27,20.211630366109716,22.13439698337229,0.001,789.1742098999966
28,19.965474415907806,17.829165434648207,0.001,781.1493719999999
29,19.438634982103586,16.79839749587678,0.001,789.5929556999909
30,19.263170267580676,18.043054451633157,0.001,782.2570730000007
31,19.20609242040797,17.2132356940059,0.001,790.1939961000026
32,18.546892530709158,16.57907929200187,0.001,786.0522803000058
33,18.340465135880933,17.33783674929891,0.001,793.9400263999996
34,17.60836746284863,17.876368914705207,0.001,786.8270323999895
35,17.464918664524387,16.463447026098326,0.001,792.764977800005
36,17.87921238741835,17.455834634828054,0.001,785.1228550000087
37,17.432595046482874,15.796106288213904,0.001,797.0006119000027
38,17.018024788124073,15.443273773050954,0.001,799.0737144000013
39,16.593132447173648,15.698746908617753,0.001,793.8695127000101
40,16.862234487896423,16.698098136841335,0.001,778.0624065000011
41,16.207964936731265,14.947093285860106,0.00098,786.1688452999952
42,15.874972311927463,14.953530841601323,0.0009603999999999999,779.296044799994
43,15.660254454661604,15.217838699440504,0.0009411919999999999,1057.7496888000023
44,15.596587160683699,15.094647011910428,0.0009223681599999998,1035.174747500001
45,14.684434774595346,14.935628003624629,0.0009039207967999998,1057.1718597
46,14.865812288952508,15.167050646890061,0.0008858423808639998,1000.7981169999985
47,14.561545536033059,15.195540567897382,0.0008681255332467198,1046.612229899998
48,14.502689047161564,14.252783986713304,0.0008507630225817853,1036.610218899994
49,14.571271856739118,14.013674333281346,0.0008337477621301496,996.6227065999992
50,13.848215261737524,14.512248002309082,0.0008170728068875465,1011.71664530001
