train_indices,valid_indices,test_indices
25398,17554,8611
4450,7299,4199
6506,1039,16242
6322,14058,17557
2290,10141,10872
11716,23174,6250
16594,9608,9411
8420,22228,9137
26034,4480,22013
16395,10174,24696
21858,19758,18826
6438,12310,4064
15431,20642,3351
1809,15720,5985
8657,16661,17858
9034,23582,16428
27352,10909,11025
4747,4485,24867
5444,18636,14265
5837,4604,10528
17911,13889,24287
12431,10673,27633
1016,13274,22902
9986,14975,14268
2324,25673,498
15201,26998,8636
1788,4896,17880
22970,21973,2207
23674,10971,5097
23035,754,17719
15790,1037,5770
2880,14350,20121
12758,16731,12987
3118,13411,10835
18808,6045,21376
13507,15420,19516
22432,14449,11172
28278,13621,14288
3940,10521,28529
12640,21284,5281
3373,19496,17690
213,27202,19738
6060,25042,7473
7351,3255,23572
2633,25942,28123
5138,4203,13055
9341,19595,22103
473,20269,23946
10084,475,26477
286,12158,27111
728,14754,13201
9704,27593,19423
9353,14907,23457
9099,8117,26566
24457,11522,9471
28363,25375,22202
24595,17552,20937
8998,17365,21263
8630,14368,22352
14316,9153,9889
4526,22990,14516
27140,15961,11928
4178,22298,13734
11232,1619,17971
7735,2126,24369
9168,14740,25934
19359,5503,3350
4025,8218,21426
18746,26102,6923
28049,15174,14064
6108,19476,28173
20193,27323,25622
8171,3066,3487
10871,2284,26803
13308,5005,18903
19298,13572,6711
6624,23252,25022
22371,20597,18946
5027,358,6317
17481,25746,1765
4914,10610,15813
209,23445,10533
8160,4077,9452
25244,25563,6972
25461,25870,20201
3136,27412,2075
13808,24358,1692
9667,21883,16340
8326,7663,11713
20918,23550,7496
9784,13517,2586
23725,8181,20356
8,14658,28398
16290,23326,27185
1158,24589,7950
5181,19299,21310
10888,22406,22915
12151,188,6715
28261,12616,12956
8516,19338,25943
13860,2679,9199
15062,413,18410
11304,12275,24447
343,672,10221
3549,6998,25120
12203,13831,4094
23494,14358,5799
14711,3021,27540
23420,14407,12178
17597,3331,28533
19897,12669,12121
4445,20393,20197
2969,1317,5686
28422,13284,20818
13490,11719,11714
6483,2432,18814
3754,7336,6313
37,24348,2584
6566,26732,3707
12844,15543,14150
23199,23144,18460
19549,21160,7646
17762,9719,18131
9801,13070,20366
8643,13710,13994
1230,13368,17076
20267,6825,23303
6774,7877,27529
3200,18784,22815
7138,10185,8712
635,7077,3303
21087,2134,15863
10498,18730,21586
23615,12029,5106
16561,682,12736
15568,12958,19068
23132,2250,5875
5537,24154,21018
22719,19614,18704
17588,16650,22950
23678,20615,16485
25217,17908,22250
26120,4631,28057
17199,3116,221
5715,10963,19992
8660,9012,18117
26133,22905,13202
23217,13703,4662
542,12990,15585
15187,19213,2682
23335,23097,5838
811,26264,8724
19709,27447,27971
28205,9921,4679
10541,15008,26716
17739,8946,22972
10515,27073,1717
5540,6333,589
11363,13742,4928
19165,9041,20531
17055,19532,18218
28393,19366,25509
16033,4137,9609
27002,23948,24079
17862,5543,8890
26514,24233,15547
25218,22049,3154
25840,21440,17784
7408,19486,22544
2765,1156,13733
7681,12629,13011
22279,2273,25
7014,27840,24187
2857,27188,12256
23477,13417,9322
10227,14392,5502
24082,27886,24524
25748,10928,23942
21435,11569,15860
25028,7087,2725
14504,1406,24965
23405,8791,23365
17264,13360,6136
11478,9445,6120
20496,12711,5044
10935,26369,24049
1724,19557,22437
24891,17783,15391
20675,7182,3055
19766,8798,1705
27634,12529,5313
26677,19849,17855
2719,5996,24227
19670,15340,9035
4458,19382,18732
15035,2897,13795
26924,4715,20351
21870,26740,24118
20395,21800,4098
945,4312,22450
26730,24520,13155
22960,20064,18909
3920,28293,5393
26988,6714,21729
12926,19572,8608
17595,28505,550
16232,13058,14626
16964,17946,1818
4688,16202,25481
26808,25647,19577
11035,27578,11477
2084,18972,16826
7109,2585,2853
2587,26192,11414
20161,23926,2607
23966,12705,25428
21504,20080,25566
2864,16460,14889
19833,3106,8947
15705,6945,10326
7806,355,20872
25983,7321,4143
18488,12684,8522
5647,6844,22397
19719,23833,26657
8433,25947,25553
26928,13256,2804
20789,4974,16063
16343,10142,16114
17666,12697,3691
16139,2896,11283
12354,7558,4897
8060,1871,13348
7332,5918,4348
3936,14644,24301
21094,23268,4784
18508,6436,27439
3643,8981,25747
13977,16694,3447
9708,23673,2757
11130,16666,13891
9687,12881,26502
11008,25749,7882
24683,6352,10703
7540,1639,2837
18810,5829,3425
5169,17259,4052
4893,13839,15189
17885,8766,25624
17303,8361,9253
23536,7852,2052
18627,19076,5512
3422,23300,10414
14906,8353,971
23267,15219,27805
21499,3165,25894
19660,27276,3953
3344,8815,24634
18323,11791,24833
5219,9674,25142
4364,5029,28060
1749,2588,21280
12261,10526,14144
18769,2076,21077
10294,6726,3986
7195,23823,1255
4653,16176,8540
3651,12991,22017
15692,11977,3240
26084,22274,7599
22045,15815,24581
24364,4735,18518
26874,3984,18789
20942,7987,20305
15887,6160,10371
21751,15265,18695
9961,24349,21381
4045,12289,8324
4380,7498,11509
8972,18500,24918
24483,9968,2312
15043,6667,39
21679,13419,27626
19626,760,16323
21651,8389,24438
4806,27821,4285
4332,7944,12323
20221,10033,17754
21392,7549,12690
17098,21834,20948
3577,11278,9444
25457,26068,8198
27454,4384,25298
12884,23688,16165
8711,4931,2229
14070,11620,25593
15719,9045,1041
12196,6786,17716
26124,28491,3400
25671,9840,9526
21923,4736,13679
16803,26941,6229
1701,22515,7712
1366,22874,10269
6378,10645,9980
18051,23538,18002
4925,20637,21155
7116,13576,24651
20970,3944,27615
12195,27211,2244
21948,24201,5459
6830,1423,28186
8779,5455,11821
24934,19755,19371
12416,26271,22024
6908,21639,9396
15673,8360,14330
27446,19576,8901
2783,25198,15481
28511,18638,22734
15401,14305,19328
4023,16489,6973
27832,8948,27782
14663,18496,17907
11000,21442,20114
24103,5030,18345
4215,20594,27497
14979,10562,25610
8950,3258,17782
896,11944,27470
12041,5762,1539
15245,23262,803
7775,14781,410
24104,20672,26498
12387,6446,28157
14183,7292,12443
25655,24556,19217
895,10638,5555
11683,2386,17714
14874,28435,15451
17443,28428,12115
12530,7672,2743
7306,10064,23293
4741,16328,20206
25111,3399,8751
11938,25088,28176
22604,14779,7401
5954,6911,12219
13008,4515,21307
9311,3899,7740
11288,21296,23686
14472,16600,23498
28126,17585,13851
21227,28282,17744
639,20452,12807
7843,26950,12314
21921,16788,26229
25778,25762,6780
12658,6126,22598
26086,6396,16768
17156,6,19813
1673,11590,3650
12458,4078,7965
8744,13930,7807
22967,25154,28527
981,7977,14306
27204,18474,4866
16596,17836,27554
26027,22092,18928
18969,21282,21414
2185,20217,18063
9634,16049,20000
25242,4034,12763
26391,3569,11596
2096,9821,19026
13509,3402,7554
22627,13449,3452
20611,2807,23598
3322,13848,20706
27789,3725,1662
19276,17331,16030
