epoch,train_loss,valid_loss,learning_rate,time_taken
1,63.7880301141994,42.9096507661208,0.001,832.5119694
2,40.46943412187797,36.39983023764984,0.001,795.8308564999998
3,34.83088236354326,27.57013047948598,0.001,751.8011618
4,31.183984226134115,26.804132456207633,0.001,728.4561462000001
5,29.062648679124052,23.687585357411464,0.001,786.6671856000003
6,28.171171620222193,23.63882703220405,0.001,760.1911836999998
7,26.802125014827748,23.778182377950976,0.001,757.7534584000005
8,26.291250720798214,21.713155827008283,0.001,718.3354405000009
9,25.562273556408563,23.682264481979278,0.001,733.0938695000004
10,24.815682978363288,19.85844871055507,0.001,728.0874099000011
11,24.629388989391853,20.163511735059032,0.001,743.4776063999998
12,23.83111886905197,20.88395298211529,0.001,731.6797588000009
13,23.523028317263567,22.16083376462138,0.001,743.5219121999999
14,22.706813558209724,19.001154082320976,0.001,736.9617051000005
15,22.90898154307697,21.28562435456319,0.001,745.1676016999991
16,22.139151138059198,19.47775486991943,0.001,736.5806782
17,21.517379966105683,19.144703842800354,0.001,746.7400909999997
18,21.58279073575122,19.272152947645235,0.001,735.8653994000015
19,20.925642941285478,17.625779422153894,0.001,746.4142782999988
20,20.5112808726858,19.599664321637743,0.001,737.6883488999993
21,20.772150449659758,18.84575253405195,0.001,746.1086781999984
22,20.23697604754467,18.760120433899935,0.001,735.3774685999997
23,19.71407315447464,16.6713137506493,0.001,745.8758801999975
24,19.472749316902746,16.499500802449962,0.001,742.8646511000006
25,19.32682236465989,20.91113997373523,0.001,749.7757272999988
26,19.07299002325122,18.33350441492555,0.001,738.234352200001
27,18.50298942516079,16.683839366305836,0.001,748.1416992999984
28,18.37614157857743,16.559646514771533,0.001,738.5671374999984
29,18.04696811754181,15.90208785666298,0.001,752.376990599998
30,18.37185110725657,16.975749706921597,0.001,740.4131583999988
31,18.02885436615964,17.207875531909067,0.001,747.7820084000014
32,17.736989042276587,15.65554761530582,0.001,742.5228615999986
33,16.887022331698965,15.922471157034813,0.001,752.1969649000021
34,17.194120567042578,17.875390958852762,0.001,742.3934829999998
35,17.127327589081332,15.824340574884882,0.001,753.5360999999975
36,16.617707762072833,16.132220468507768,0.001,955.7873891999989
37,16.900597902686766,17.72305951472259,0.001,891.5624726999995
38,16.200006972097835,14.981285523099984,0.001,930.1264343000003
39,16.393892526948434,14.828242109692992,0.001,986.3829014000003
40,15.93663328525144,16.159589674224712,0.001,1043.2704302999991
41,15.68061222666997,14.427845052842832,0.00098,942.6404295999964
42,15.731862314593393,14.601354289266254,0.0009603999999999999,809.6701006000003
43,15.486710171384589,16.58706693965255,0.0009411919999999999,802.9223314000046
44,15.352192119827068,15.413978687914742,0.0009223681599999998,791.8967451999997
45,15.859106289482755,13.783415004019975,0.0009039207967999998,754.879580300003
46,14.69150685722259,14.731233636853409,0.0008858423808639998,730.1725936000003
47,15.142934512248827,14.80322489764053,0.0008681255332467198,743.0211433000004
48,14.426514658544798,15.475092387232777,0.0008507630225817853,738.3343349999996
49,14.421335805747828,13.643923992650063,0.0008337477621301496,787.7551779999994
50,14.26651729058578,14.290873730677731,0.0008170728068875465,773.2416359999988
51,13.900187055925496,14.787103166771558,0.0008007313507497956,794.0041121999966
52,13.793838259118967,16.153426793263552,0.0007847167237347997,749.1181615000023
53,13.91209171433174,13.255385375946302,0.0007690223892601037,754.3577873000031
54,13.524105249640405,13.993154931279804,0.0007536419414749016,743.2840555000002
55,13.343439843164587,14.927552329119933,0.0007385691026454036,754.0286441000062
56,13.245979018142465,14.79199347671815,0.0007237977205924955,799.9284079999998
57,12.676850604734435,15.004498316648682,0.0007093217661806456,858.6041955000037
58,12.756372845284337,13.49987815453302,0.0006951353308570327,826.5103077999956
59,12.770570443002088,13.173012615418356,0.000681232624239892,825.2699680000005
60,12.95809348114347,13.155001428824855,0.0006676079717550942,834.5652977999998
61,12.452212559712553,15.10790309959408,0.0006542558123199924,842.6611603999991
62,12.32744679485081,12.87455300410329,0.0006411706960735925,836.8027999999977
63,12.400480404313663,12.888378456992854,0.0006283472821521206,819.4164137000043
64,12.018949634712593,12.890081720378873,0.0006157803365090782,770.0822045999957
65,12.154156875648496,13.365276948570148,0.0006034647297788967,775.608069300004
66,11.715387108933776,12.604807964619553,0.0005913954351833187,894.5462507999982
67,11.809285241719168,13.172084978124108,0.0005795675264796523,868.720997700002
68,11.824473117436238,12.943982018525501,0.0005679761759500593,940.5145398999957
69,11.6222637590483,13.542157513929537,0.0005566166524310581,1001.485010700002
70,11.344900493931517,12.752247348323472,0.0005454843193824369,1078.9708930000052
