train_indices,valid_indices,test_indices
2647,2721,3132
1804,5902,4718
3299,6647,1475
4321,5830,5817
1586,2341,4346
706,3837,835
2484,6495,428
2929,1382,1989
4384,6753,118
1410,625,5090
3616,6705,92
292,5732,2853
1537,5813,3162
2719,6480,2733
2362,1417,6014
757,2193,3798
4333,3660,758
4546,2638,1770
700,6401,1352
6783,1584,4865
2399,6409,1297
30,6711,4030
627,2450,4091
3880,4628,5124
6436,1067,279
202,5209,5109
2215,3891,2873
794,3518,2865
89,5294,4101
2368,1293,5856
5722,1358,4158
890,6461,4590
1908,4162,618
3763,6159,1753
2375,2660,1366
4754,2401,101
6117,6948,1674
438,6829,4491
1331,1853,6629
117,1372,680
1541,3428,4721
2306,2214,3934
5845,5199,2062
3021,2354,805
3097,2969,3263
2693,1755,5161
2667,922,35
6254,3717,6938
6106,3018,2518
3860,4785,2829
6231,5146,5031
3122,4854,5214
2932,4973,6407
2933,2157,5889
1818,4294,4525
3628,5303,5746
748,6609,5055
5095,2858,3526
2218,1234,3440
1966,2551,1878
3130,6714,5839
1614,529,417
1561,71,4382
606,2904,34
2842,5305,3080
6010,5085,6131
5372,4324,4497
4157,5487,3366
5911,3119,2921
4948,5741,4842
6312,5122,6215
6604,6723,5438
2466,4187,5988
1871,6007,1016
261,3343,1312
6055,6214,2284
452,2093,2471
4874,1368,6554
3944,6013,2326
1483,927,4965
1221,88,5377
6333,2287,1636
4507,2019,6718
5629,6704,6553
6179,4239,1715
5422,5780,6668
5954,46,3953
3553,1097,4421
2637,609,2142
3897,584,6669
3255,1917,5957
2804,2868,3447
3016,1357,2171
1514,188,3874
1467,4601,286
2992,4916,2736
5047,6226,6810
5787,5201,6387
6544,5671,1942
1891,4394,4089
6065,148,5003
2756,2061,1209
2622,4024,4922
1953,1022,238
6412,3475,2730
1470,1408,2357
5134,2130,3196
4526,2786,4774
5992,3412,1646
1847,3341,3579
980,1639,5133
4956,1632,6079
2843,3978,3898
1579,1425,5572
