train_indices,valid_indices,test_indices
30019,3779,6939
14007,32649,31279
25466,30723,29420
3738,29741,1977
34820,5548,22699
5830,22058,9651
22503,11608,35664
21494,14000,29264
27503,1557,20770
30811,26685,32895
21721,34309,25568
41714,20888,4596
37748,16948,28577
27216,37362,11599
41090,25305,18385
15105,38405,11025
1342,30648,28084
27158,9238,22001
31091,23092,10831
1889,29705,12174
3805,15149,21890
21948,31369,3835
20559,7856,18833
15551,33751,14727
4894,20402,26781
12200,33645,14713
27053,17551,38013
32886,56,35113
11948,29620,31081
23475,8569,39445
14766,34289,1597
24123,4398,34051
31803,24502,12257
8370,24954,28603
35180,30400,29200
30476,36695,42277
31042,41361,38034
39228,18004,37305
5652,4832,3775
40824,36946,10323
33898,32216,38619
3849,12133,3290
4301,3716,21179
33058,39483,10392
11306,22650,37851
10037,11842,3346
1809,36472,15612
7729,25358,16173
4486,28564,18957
20477,1006,4959
40819,15729,32769
27496,26861,8496
21692,18414,29214
17577,7612,35224
5554,10284,19572
14996,3748,21783
2271,20339,10086
18036,15698,12159
12001,36936,35150
33287,7899,40229
409,12974,18195
38259,28462,1777
9508,11120,15988
29232,41782,4343
18919,34876,7883
18460,36018,30462
41151,6780,836
31771,31777,33991
38083,27767,32085
32640,35539,13350
30291,34302,5722
35388,33182,32450
33965,1403,31979
40384,10689,35460
20875,10635,16941
6272,19493,37124
15921,15996,28025
28259,10478,16828
864,10353,17773
30663,12950,26138
35554,35856,1826
28508,42376,3977
4270,17228,25198
27497,1598,9433
7664,11278,38726
11389,39613,42111
17511,34791,18570
27799,9313,13222
27122,39957,5045
4840,10468,14667
13630,41046,231
38994,2985,31659
14112,10685,29658
22221,29195,22826
27694,3811,37891
36177,39257,7010
26344,6384,19979
36727,13253,25566
30184,307,22176
10407,11741,5049
24686,3697,33682
36301,24049,10731
18587,17850,34446
17134,6230,8035
21718,36116,17691
29250,36415,5008
20417,6146,16741
15666,35345,5827
1318,26820,1156
8303,9664,1709
7035,16217,42782
11104,8459,10879
35434,36449,20675
18530,10540,20282
29049,12548,23125
16526,22705,40126
40790,39207,9721
28625,25067,24688
3548,13075,20580
3758,3635,36699
26322,19131,29691
34743,23851,33879
42282,24438,42391
41526,16253,20149
20374,27157,10071
14293,32581,16533
40144,4867,15393
38372,31652,16274
21099,35730,1894
11884,2158,14984
31617,22502,16471
33102,11622,3452
11432,30040,21252
35837,33867,4454
14903,17329,28281
16955,41340,15951
16673,40679,22285
7135,593,33178
35540,19193,11433
11144,9747,38522
11329,20321,28694
35885,16636,19287
2467,33355,1524
27041,28458,11229
16122,42284,20682
14621,10298,12463
26738,36786,42749
39010,39889,39913
33160,3970,3235
17361,26843,39534
19815,34707,22791
36787,2295,31567
30281,33592,19818
18594,34987,23242
41513,9704,7747
1949,18912,7223
30537,5670,7019
32356,20967,19743
16258,14660,13343
41459,35646,38225
35805,7088,38646
9654,13801,2132
2515,41570,8733
20852,18921,25013
11538,13320,27712
37147,8285,13202
6174,2875,37470
39842,22306,36546
21379,14705,5041
40715,39728,27230
27039,7003,8933
2856,32805,24879
18112,16345,10095
8146,33708,1964
11267,32504,5595
6577,8901,34838
29132,41909,5872
14294,6373,29201
8911,24462,27944
7465,20478,31584
4509,25619,6409
31111,21432,30668
32757,13839,17250
13830,7817,7655
14855,19720,30808
8744,4214,15992
34711,19719,3660
27853,33681,16546
12506,13023,41701
13938,10406,24965
22439,35691,11806
11809,22039,11677
14308,29176,10599
9041,33127,19867
38933,12802,31719
24426,5160,23973
34839,17639,19437
31156,10905,34736
32884,6182,9989
26500,16502,15276
20550,20115,9111
38485,3551,32406
42116,12426,36416
25328,13330,10593
19686,4135,20483
20245,38373,15999
18578,1221,28186
14654,24886,1233
32995,28459,27879
30392,21829,41502
29295,15066,8296
17366,114,8311
28733,31394,5123
24324,6572,31116
41253,40760,2676
14418,3622,7694
35129,11188,22630
39187,29934,37306
8383,10172,15785
31462,27939,14818
30054,38567,26216
36949,41050,26950
9564,42015,6432
36571,36003,32542
15204,9366,3236
5730,8894,38467
31379,5032,12858
12316,8825,35272
26929,35358,14231
42518,39743,14193
6483,40557,31221
14539,7652,41193
20961,42834,42021
38168,26425,12827
27088,21531,24293
11106,34465,42068
10941,7518,31794
15031,21888,11878
30818,1601,41065
24665,42887,42045
31154,30612,2835
264,24969,17863
17323,33238,29394
34157,10283,32029
15314,13317,25346
29424,2316,5257
15161,109,22093
29005,1032,40579
8792,40111,16281
42876,25265,21261
10786,37982,42211
15113,24156,26802
42432,34640,25273
