train_indices,valid_indices,test_indices
1308,27898,24091
30259,20100,34187
567,13882,16780
33254,8775,33911
17125,7541,19277
26254,14107,4148
7535,21076,32628
25007,41832,6358
33187,15011,23528
6906,22145,4743
6910,39279,40175
22759,37735,34693
28511,40559,39380
12233,25549,19094
3882,6689,34463
16137,21309,30451
2133,30065,40043
11176,37969,13051
33993,40118,18346
35054,37435,9403
1776,12800,20537
5779,5924,13232
37702,23526,34365
30258,27598,22016
21449,10224,6580
39435,30052,6696
20990,35997,1486
30318,28482,39689
26948,7331,41799
39187,8197,16694
7671,32666,36956
12252,19376,13878
37724,203,35836
41154,35867,497
1884,7438,29402
36985,23321,36473
1567,13022,31767
31880,1784,32716
28725,22662,31825
5482,28507,2950
41375,19442,30790
7153,35765,11362
13344,5614,38671
26967,36906,33317
9617,6826,26275
21020,39977,38147
770,6362,9331
13209,32390,5732
13120,28583,27142
2817,31970,20308
15550,34117,4266
36477,18722,32318
10451,29338,10256
26972,11664,8546
5211,2291,34306
38265,32163,11994
35380,10014,32621
42385,37762,6968
38685,15466,23322
23501,32725,35925
23242,28149,12757
6397,17799,34228
21987,18977,773
17520,41323,16772
24242,10241,8715
4880,16987,13918
8735,31550,21562
35280,4600,41996
36299,17493,20548
12537,13548,21554
23963,31330,32572
11428,33086,14910
23381,33053,3289
33027,33683,30649
10922,5390,34901
20212,6198,1946
29409,24814,34991
2893,5084,21087
21721,14565,39265
35452,32848,32330
5051,3019,26608
42317,37446,13877
24764,2006,9351
40957,11000,40898
39245,30315,25852
36449,30915,22802
13042,34726,38830
15189,21561,27252
42712,23977,2617
41945,10218,323
29833,19249,38952
3175,15670,26087
28987,8831,15079
5205,42814,21149
6413,20107,37516
31201,41065,29953
38893,23496,37399
39887,38717,38021
5818,39891,13141
25023,19885,26647
6142,10043,31890
29964,20151,42453
4454,7402,587
5811,30350,5662
39870,10696,7189
35785,40279,1896
37712,21378,38975
14924,35904,2281
8336,29148,35489
14226,19251,18243
20351,2160,29443
4757,21216,36622
19124,33801,808
22822,34651,14199
26240,38848,18904
34624,12152,40643
40007,42268,36628
4721,6316,5465
32809,10137,19114
20778,18138,16348
30008,8295,34949
19172,37130,42841
28665,20387,4256
12512,17882,36210
8223,24890,42279
8728,27592,15885
38504,38448,23045
23639,11157,15154
7437,37519,3226
20935,34971,19920
18096,947,24931
41152,36186,18625
22273,16508,31820
1322,3130,41601
20017,26697,32567
7806,12364,11034
8092,35538,32570
27442,8602,2093
29723,12079,20293
18945,38130,19985
33764,1688,12601
17937,24593,22381
22605,27703,28969
33225,2217,21994
4505,1100,23350
30659,9562,2517
20959,21795,29763
17718,38315,13299
39107,38632,27079
8665,28697,5594
17528,10328,20228
2682,23881,597
17434,38254,15916
24689,24720,31128
34724,33853,36432
34891,24854,34576
15426,24467,1592
3571,7975,34808
10743,36304,40977
21226,15097,12682
5276,29666,28199
40393,27063,29727
35322,14262,36513
17662,34739,29499
40606,8389,42124
15595,27532,14676
40664,36041,1167
21391,14038,19761
27546,32555,35695
5070,32923,6165
32900,22782,18095
34447,15558,12656
40856,5587,3626
4730,24202,36097
15995,19625,30050
18989,39423,39937
37996,30793,3316
927,8810,24123
10481,34265,7948
41424,32767,37749
20542,20451,32289
38240,37835,6086
26453,39140,42722
8755,6839,37288
2512,6756,14443
5365,33127,37010
24904,36816,21270
23289,18438,20848
26256,21498,34630
2618,23596,32892
38179,28721,34864
14981,24986,14767
16114,34248,32980
31490,4842,3375
23268,15260,13625
16540,36659,13098
33965,23177,25833
7742,15411,23024
9183,14368,28945
1204,32271,34702
22671,18028,31898
13953,29675,27277
31281,8971,15113
20571,35090,38928
5651,7376,14461
17096,29017,32860
11485,17418,19293
1025,19722,35769
35532,3337,6383
6877,3205,19279
16103,9116,27549
10201,19723,34820
31863,31691,35486
34635,30201,2155
4317,12241,4889
8706,33220,40966
26074,42782,27106
2891,31143,1505
4153,9840,4314
18753,12908,42014
38804,658,14139
3186,9631,35199
16859,22189,16541
39338,3264,7491
2026,27197,16304
10742,29664,36801
13317,31564,7647
32771,13498,7007
16517,24349,32908
35171,26913,12760
37465,11149,22585
37718,2735,29793
37348,2472,38344
884,42390,26148
23891,41873,25961
25345,31805,23920
14389,18687,7509
37682,7550,15816
505,4724,38149
8321,10456,19781
26727,10736,33202
9986,8744,28954
36832,9648,26252
9013,39700,27602
2959,31931,12353
6543,40238,19062
41238,6866,18082
26747,16097,34542
25163,26443,30392
4223,7570,34813
1234,16939,10349
29909,14897,13974
26814,1497,42144
6607,32775,36319
31920,3963,7937
7363,23853,17226
33620,7689,32905
32540,25106,33765
14247,12639,37669
5296,15542,18358
27080,42274,32778
7584,14441,29873
30478,37984,38134
25681,38287,1860
24702,15319,28962
28433,5279,2738
14902,4744,8328
37515,18010,468
13287,34857,25854
25908,8012,36924
28870,3042,40644
34315,13766,41175
19820,40044,17861
46,36434,6474
6674,27284,19404
1465,38861,35717
25467,19239,9417
20185,41645,25931
42343,7107,22893
36137,2958,13550
16890,9827,2304
37801,8970,20165
34338,5068,3731
