train_indices,valid_indices,test_indices
409,2316,2586
2739,1817,530
604,2825,1987
1416,978,3038
1581,844,2695
1321,1254,1937
195,880,101
720,1039,636
1826,2487,3050
19,1317,1221
2174,1876,2189
2334,2119,1587
1625,1276,1589
1714,1428,2928
1467,1945,3118
1053,1917,1513
2234,1167,1243
2800,729,892
2267,2972,1046
2044,761,968
1531,710,1403
2820,1854,612
2611,838,3
1179,974,2331
577,863,259
2788,425,2445
1982,2233,941
206,201,0
2406,506,728
2967,2046,571
2306,1020,1290
1436,562,1023
803,1511,2726
1588,1258,1308
605,3075,216
580,141,1158
766,1861,1842
3024,2763,100
2536,199,2019
2730,1468,1877
2133,1779,1962
2141,899,1679
1213,32,3069
911,615,2284
2264,269,526
2957,2353,754
13,2289,2110
2235,813,2263
1295,2827,2043
2539,2106,2526
2600,467,1118
1546,17,124
315,815,1299
496,2318,1508
2785,1446,542
387,947,1789
1392,357,1777
1539,1638,1769
1406,1624,826
631,2015,2095
1689,706,621
1006,1277,2875
2074,2023,1087
2036,2459,1512
2874,2661,1719
1275,2979,72
2812,16,982
2182,1491,1772
84,707,584
489,2953,1811
2678,2659,214
705,18,2886
989,30,456
1224,418,1647
2597,1296,202
2277,1601,1026
1561,1014,527
548,1187,2588
2872,1687,2654
2288,1525,1493
2982,2271,912
2401,1272,883
2204,438,870
2935,3073,2261
452,1057,2153
764,1175,2534
1550,1604,3060
1159,1746,1052
1215,365,909
1000,1393,1862
1547,3128,1131
1287,400,2260
684,832,550
1776,1388,2312
657,950,296
2854,1422,1568
504,505,714
1849,2456,2808
3077,1238,765
724,64,2856
1586,686,1660
3110,424,219
708,58,935
1075,1999,286
1019,660,1872
1691,1331,1164
323,1284,637
2404,981,1871
1144,1997,1143
2777,2444,853
2692,1621,822
1695,2136,485
783,1153,1955
31,2922,1038
1879,2576,1892
1828,3058,1482
2308,2468,2252
1859,2298,1713
1374,306,802
868,386,1681
122,3130,428
1593,2265,2447
2653,3094,1166
1551,818,735
551,2200,2244
2646,704,2770
1894,1342,1911
1373,2891,1806
1716,413,695
146,2630,1177
308,367,2869
1751,2682,3004
227,282,2495
1013,2610,237
1574,1354,3055
1939,391,1404
125,1986,1059
2565,68,769
2421,1507,948
476,158,2989
24,1336,289
160,2279,2226
2280,1847,152
662,2248,1941
2992,2902,270
2116,1018,245
932,2017,1795
1201,1943,2700
1104,1662,2706
1748,2985,570
131,2325,734
1649,2907,3049
234,793,368
2761,393,516
3121,173,617
1080,1788,2062
1017,1259,2524
1240,795,2642
2090,536,3103
2604,2782,1978
2383,2195,2756
1165,623,1207
876,574,2247
2357,878,2805
490,1924,2802
983,2378,3124
557,3008,2395
2850,2734,321
1569,268,560
188,115,1844
2137,3030,1395
1376,1282,1483
2991,2229,643
613,2636,406
2673,1542,556
3078,1268,663
2865,2583,2876
670,2232,1590
2351,1791,2269
1352,302,759
1344,2370,1536
927,89,928
2249,3045,2843
2220,180,2828
2878,1096,2423
1743,8,14
1902,2494,2562
2697,53,2602
1198,2871,271
2268,1578,1630
446,736,2990
466,2030,392
331,194,108
494,1423,2167
561,2665,67
1396,1725,962
819,2749,595
3127,1058,1248
417,1855,165
1517,2066,1618
164,1214,1244
2569,2384,11
175,2513,2176
203,540,1912
1572,2463,651
2113,2767,2799
1399,2255,2809
625,774,817
1307,655,1216
2022,2278,2009
1663,626,2555
279,2830,198
2020,2772,384
1560,1182,1288
156,669,943
833,2599,75
1145,1456,1338
2978,811,1648
1838,157,348
93,3042,1227
658,2056,1496
1951,1251,2166
298,1011,212
293,91,1562
3119,196,624
915,3083,1405
2520,436,798
1205,1908,1361
2027,1449,926
2942,1113,1199
887,2689,865
2620,732,394
2001,814,2545
778,1899,474
361,2428,1675
2254,966,2293
541,1217,151
645,1760,1471
1323,2442,1101
2354,1293,2158
1241,1565,2045
1305,2077,1570
3076,118,1573
1938,871,2973
1469,3100,127
2120,2705,1965
2746,1632,1351
739,1300,377
1557,688,521
618,429,890
2168,2765,1739
2085,1007,1137
2273,2905,2190
1030,300,2040
2729,2067,1407
2969,477,956
564,1441,2881
856,627,74
1411,135,1069
411,2145,1927
2301,2223,2173
888,2580,2203
1380,1304,2840
1857,1312,2934
1322,723,2792
2335,2951,1954
1470,1310,1119
1126,2416,2461
2879,43,1320
2773,3098,1533
2411,1989,1340
513,841,2366
2472,375,44
2527,2381,299
468,1977,2253
1099,2405,1485
2910,337,846
1043,56,142
2538,103,107
738,907,1926
2906,785,2683
2072,748,1189
864,693,767
1109,894,2238
2139,558,1453
1107,2121,1967
2217,2702,2164
2552,749,2507
3035,1176,1097
2612,945,2470
2535,1419,2753
3046,1315,1669
1060,1802,2002
389,1414,1273
2018,3027,1421
2088,2270,671
954,2846,2554
3113,2570,1481
1186,2598,1420
1948,487,1289
2073,573,236
2638,2591,665
2807,48,820
433,2149,1021
2889,1452,650
408,973,3115
1157,7,1074
1252,2965,228
1245,620,2493
1737,2614,3018
2814,648,508
2984,374,2052
1928,1180,370
2938,1279,2460
1969,3097,1401
849,679,1796
839,1829,905
1348,2892,1643
2956,2480,2272
1210,1914,633
2731,851,1784
2884,2677,2959
908,2795,229
2578,2976,192
566,2582,2998
497,2148,3037
35,2911,963
1281,2779,185
1653,1253,401
737,1408,1633
427,2350,186
2375,1171,2283
1697,2178,3003
1382,2615,3131
1956,356,2035
1148,3120,857
2355,2126,431
1455,1766,2413
334,2391,2890
2057,3107,984
777,872,2608
335,967,2144
2369,396,1092
1733,1925,2109
546,687,2916
1745,1283,1203
2420,1056,1445
1727,2512,1486
1808,2757,2399
1566,352,2826
2080,2143,2920
2838,354,1341
112,235,154
1079,576,2514
668,2431,1732
1319,2245,2632
1850,2382,985
2374,1001,1495
2029,2945,2996
2135,2105,2932
934,257,873
1767,1707,664
1077,3066,366
1086,740,2206
172,1035,2584
119,1639,881
3068,2320,619
2680,2361,320
250,33,661
426,1458,2823
1149,2732,1152
1548,1824,1970
1750,3126,698
1609,57,2888
2649,2259,1800
719,2894,2089
569,2592,1672
585,592,1724
460,1631,2868
534,1091,2963
1515,255,137
1559,2276,1756
1154,840,1705
2557,2806,3102
1270,2790,750
2394,742,1465
1556,1810,420
1640,1867,787
2242,2550,371
1549,3091,2784
1875,1346,2529
248,2531,2039
242,953,1742
439,2941,746
2286,2712,2336
2641,939,1827
2338,1922,726
1169,1332,2634
1543,616,253
1764,2326,893
2687,3056,2686
