train_indices,valid_indices,test_indices
3537,555,6325
288,1671,2770
6232,5281,2404
2972,2557,736
640,2574,3581
5037,3652,6182
4215,4623,1160
5637,6259,174
371,1648,200
661,1081,356
47,3814,6526
6237,2151,1211
2167,6352,636
6177,4678,5462
5798,2085,2594
3014,1435,3132
4648,5689,141
5916,2940,618
1024,5717,2512
6122,675,446
5370,6413,2879
32,3544,4363
3627,3761,3699
4437,5672,4764
2654,5264,2965
2582,5138,5599
1584,485,1759
93,1836,1591
778,2920,3494
6046,1140,603
5144,3398,4666
988,1354,3641
301,1074,4651
2961,854,5117
3558,5084,3094
567,2886,1274
6176,4044,4529
1131,3991,3735
3444,3359,3054
1315,5172,534
3523,104,2864
3241,5093,1333
4487,3704,4033
4538,1490,5124
5165,1634,260
4719,1204,3822
1692,6069,5783
3080,1952,782
5953,2910,5025
3148,5571,1359
559,1892,1717
6186,3926,3964
1882,2306,1092
4908,1609,3352
4495,2221,934
2012,1695,6061
5788,4884,5484
6063,526,6202
2992,1792,5570
3775,6023,4393
5342,4536,5453
4869,5759,1076
3175,4103,4750
2630,1047,4242
6295,55,3831
3386,821,2913
3611,5141,6056
5229,5004,4609
3312,5413,3195
2067,3303,1340
3923,2507,4982
1623,3870,304
3918,1914,6025
5928,3904,2379
6536,4734,4914
5391,1457,6444
2432,2882,3100
4841,5534,2515
2963,1928,3929
1012,2392,2799
3079,6235,3638
1135,5431,4501
2928,4441,508
1419,350,4092
300,5609,6044
1054,103,3897
5174,4101,5016
212,2528,3134
1691,1812,4425
2166,497,1721
2199,1003,5834
1518,3422,4243
6304,4408,2918
2398,2736,2041
516,2239,6227
5621,2880,6420
1443,3037,381
4733,1679,663
1472,2760,4598
6484,30,1128
5659,2664,3063
1355,2652,1858
4896,6519,5744
3051,4224,4580
360,4459,2182
3480,1461,395
3715,6300,1603
3232,993,5279
16,4712,1484
5227,4650,234
4759,950,5164
1117,2198,1021
4967,5190,4406
2898,3575,5601
489,6052,4023
2810,1675,5690
5511,337,5491
4955,3614,1548
4831,4978,9
6053,407,4108
979,6323,4488
155,6156,2356
5284,5254,628
6394,3003,2593
3636,3937,2983
2171,4698,919
351,5099,2420
1532,6184,5594
902,131,5472
1869,1234,430
1549,4687,1002
1739,3381,4375
5083,4208,878
838,6040,6410
5987,4192,2717
3783,4026,6478
1139,5677,4665
5368,3142,3171
2839,398,2787
5795,1208,2754
5923,4274,5995
2539,2173,1957
904,3730,1248
538,4546,6059
6428,6158,6112
2954,3755,6132
4382,609,4657
3028,2159,5455
1122,3552,4327
2649,5602,6247
410,2511,1723
2165,218,1853
4829,4991,5850
4849,3770,6162
2640,2090,2807
1859,2181,814
5868,1466,5087
3981,4095,560
923,286,96
5547,2853,4519
745,5072,5756
6019,647,4539
6290,5389,1470
2259,2657,5010
3291,6230,2779
5102,4983,769
1241,2382,3470
1362,1754,2044
3333,3742,4090
329,4129,532
6016,4906,1367
6281,6455,5525
2866,5554,837
3351,5618,1280
1516,4325,331
5858,6532,2871
3250,4219,5757
2896,5243,4019
36,310,2063
2358,4291,967
1758,385,6610
1483,6273,4797
4222,2491,4111
3136,3668,1025
772,4847,2974
5183,1703,4933
6351,3820,5600
730,3596,6212
2055,6573,2438
4080,3309,2243
3865,535,5385
73,2474,521
2636,3292,1465
3766,83,2149
2189,451,5719
6590,4635,2224
4586,3512,3905
2790,435,1489
6263,6038,5133
520,5457,513
