train_indices,valid_indices,test_indices
908,2087,2073
2433,234,458
411,841,1495
1492,895,1422
1470,817,431
2483,1386,1714
492,1782,840
2765,456,1450
441,3001,2678
939,286,1375
959,630,1989
464,1716,88
1448,2305,1783
1262,3076,1157
1644,2935,1108
504,2923,2240
689,2624,1724
3028,2380,3069
1482,2846,103
1349,2680,637
2440,1047,2907
808,800,181
606,3016,1235
2242,3081,2880
2644,294,963
681,950,2113
2387,2827,2570
1095,2796,1435
1381,1304,1094
1901,2836,2024
2651,1690,1946
633,1270,106
2808,2110,478
228,196,376
2567,880,307
1034,941,1990
2699,3058,34
2214,626,3138
2921,2583,2439
1228,2116,3086
232,1060,2621
1281,1582,3066
162,1768,2443
966,320,1341
81,518,42
1641,2471,1588
981,2323,3094
326,2200,468
2192,1471,1817
1770,71,1750
3090,2391,51
2875,2196,7
568,1075,1043
984,2306,979
851,1093,2239
1297,1339,2045
2671,957,991
1421,128,1513
462,699,2368
2091,1557,486
913,927,3014
337,2453,1819
1951,1142,1867
579,961,424
1998,1139,1723
2281,3005,2201
2309,2367,673
2452,928,2538
1771,2986,1812
420,1188,992
2284,795,1199
1485,1795,1251
1454,1850,311
2672,2326,2210
769,1745,2358
2407,2785,485
2520,2377,1122
463,2802,2057
127,2139,358
1151,415,2717
373,3045,1765
2632,245,2611
3098,971,1739
2719,1014,1479
1171,1945,353
671,115,2478
2639,2708,2874
901,1703,74
1213,1162,2845
1620,1967,1505
363,365,1357
2591,1634,2681
3079,2224,1083
692,1904,1760
1628,2255,2612
572,813,1688
721,1781,3127
988,2041,1296
1369,2562,622
738,19,2863
2034,868,177
2690,2,2896
2903,2370,58
1071,1291,2451
1140,2184,375
2546,231,1363
2994,1856,952
2729,1164,866
1581,1274,2479
838,100,1605
877,1452,2125
96,3134,527
111,356,1930
2891,1287,332
2142,1985,1860
1519,499,374
1247,28,615
1141,3055,2498
1163,1248,302
1408,1632,1260
1943,2767,1385
996,2720,3010
1292,898,217
2163,2468,1777
224,889,70
2813,796,1249
1412,1516,47
968,584,1443
3031,1453,1732
2197,2594,173
2543,1568,1702
1508,2419,1928
964,2135,1902
658,585,1243
2122,2722,216
1921,2232,2613
1886,1346,942
2169,3022,623
2053,215,943
213,1169,1753
580,2060,2728
1022,1559,1646
2473,2115,1437
1893,3072,1894
983,2609,1087
1179,1104,2441
1972,1232,645
2310,3112,1594
1962,109,1165
912,394,25
2247,2347,1051
297,2761,1695
52,2223,3128
419,2900,583
1574,161,1148
1313,650,2783
1820,62,2216
267,414,2856
1004,1982,328
1401,1217,1088
1591,1976,1303
661,3029,2459
367,2596,2843
2801,2335,329
2803,2177,1338
139,2316,1037
1832,2952,2910
2916,1312,2277
2993,763,309
252,1712,1356
2389,2298,512
2165,1706,2638
2709,2042,1637
2988,55,1747
1074,1658,695
409,2002,723
2321,436,1166
27,382,1576
839,200,3106
2972,2870,158
628,360,15
2581,2151,2614
935,2048,522
1929,2936,2143
1858,1536,1125
2684,1149,937
2052,175,183
2559,879,1825
241,1317,79
2420,1740,364
2585,2776,255
1540,72,1150
1746,1909,1728
1041,350,1571
1583,277,2800
3006,1610,212
554,1481,1660
611,1484,36
3080,2736,2665
967,398,1477
947,1993,2928
2887,2926,3020
2301,2855,3130
3046,260,2164
2578,259,1361
1017,1515,1749
2373,2245,3088
1685,1090,246
1931,773,1814
1289,357,1955
1285,2344,2504
1888,634,2956
330,2102,757
1434,2331,684
2996,1924,1944
576,298,2336
1671,2280,924
1520,354,1599
2078,2475,2352
691,2166,49
775,1445,2145
1029,675,1735
2261,529,672
2566,810,1478
1811,3125,3052
2930,1667,2469
3063,782,993
1997,2677,1350
2123,477,578
2099,1680,1425
602,172,837
1459,2862,2494
209,1847,1653
768,2394,1431
40,2417,1053
1722,416,2378
2571,2507,1977
1887,1155,94
1076,2820,2631
403,893,1698
2107,2792,1577
519,1147,1403
3018,2279,2154
2300,2027,1144
1859,2549,2739
1674,2616,2325
2187,605,2623
293,404,146
160,1737,1220
2524,1705,2324
1786,1650,508
2229,2015,333
509,2854,261
3048,2508,2860
858,1692,2313
3002,2000,148
678,1298,2938
1527,2749,2619
1177,321,1983
558,2179,663
322,2742,2332
2710,2362,1919
1840,1742,2474
735,805,2061
1488,2760,1273
1664,1300,1779
2213,1600,1561
2685,2703,310
53,387,2711
2294,455,2607
3054,1953,1829
1673,2894,2521
1884,1131,1697
180,2519,2104
1368,1877,1328
2490,1776,2542
1263,1984,1196
2683,2758,2899
2292,1293,764
443,1012,3100
755,3057,480
2236,2692,575
399,743,1731
1532,2733,2334
543,405,2188
2513,1927,958
1498,3026,754
2329,2829,595
199,2432,741
230,2912,1551
2653,1517,2059
165,2008,2974
704,2486,2381
2455,812,2258
2400,1730,2406
2191,2355,1124
2043,122,3036
2385,2652,2775
2069,57,2257
2340,469,2876
1764,3096,916
2641,1400,2488
1826,145,1802
1111,10,1190
547,2221,2194
396,1424,2679
2960,496,3038
1391,1283,46
430,2676,644
2715,123,1606
814,2176,2576
2998,1602,2496
2751,1934,2477
33,729,896
2595,233,2327
1378,1892,1393
2158,802,1242
560,2144,2869
679,693,1550
2397,506,3104
1118,1564,915
3030,1355,2788
545,688,1870
951,1475,1100
953,1187,2757
1268,3087,303
1225,2511,1256
548,2186,1036
1186,3103,2859
748,2004,830
1883,378,2234
2006,102,408
1038,1365,1221
1755,2311,2735
2872,956,2992
1885,2529,421
1336,135,2308
1048,659,613
1011,535,1546
429,2395,2101
1665,604,1417
362,1427,1506
2171,3017,1839
1138,2772,1629
0,2402,2654
2885,970,2100
2564,932,1266
653,2299,1539
166,3064,845
82,1326,487
2183,2883,1759
206,2577,528
860,2809,3073
54,1611,1986
1891,283,1907
384,1822,597
1751,1112,2038
2025,2867,1569
1616,301,791
116,1649,494
2314,977,3077
1194,1415,1852
1510,1622,2851
850,1277,1134
342,2995,2904
247,1700,1729
1468,541,24
470,3019,190
933,2423,2476
2416,1264,995
756,1799,2649
306,3133,1245
643,1615,923
1903,3118,2706
1687,2118,511
2064,488,2565
587,2919,973
1212,694,3135
1726,1382,426
1205,2424,1573
1175,1015,2023
1843,1019,1618
2781,208,807
2580,917,1635
1682,2908,1
345,649,2959
1343,243,1584
1390,832,1668
1469,1002,2606
2961,1988,2635
2081,2364,1042
1537,823,2766
2898,1965,2131
857,1208,515
2463,2763,2646
171,2747,178
2732,1913,2382
121,2548,2780
1587,809,632
1308,2666,1451
1006,1027,2973
1947,1054,2404
2920,929,223
2798,2877,1214
2658,1294,2929
271,1942,1808
1430,1428,521
1556,732,2864
2771,573,779
900,2826,76
1158,3068,2133
3027,452,1661
2734,427,451
1791,2349,449
1480,2040,450
1717,3003,412
2189,1392,1174
570,2777,2272
1044,219,1250
2028,2345,3065
631,1185,2558
1316,2011,2657
2278,2365,191
6,664,550
2510,1529,1778
2814,2890,257
2967,2072,3034
1098,1119,1544
1895,2009,1932
3040,1206,1625
2132,2586,1835
1534,586,460
2830,483,2467
1329,1182,2096
1807,827,1010
2392,2271,351
2673,1191,1032
646,1865,2879
150,249,2773
168,1224,2346
1518,2126,994
2218,383,2425
2401,2495,2248
3074,1319,2650
2161,1678,1101
1878,1271,1463
1079,2588,346
1803,955,745
126,2873,1458
1830,1798,2276
2983,2707,2509
641,1399,1627
2610,1994,2835
1026,780,2427
753,1404,2831
20,2093,1585
1120,1302,2112
1827,1683,44
2793,2551,582
432,1718,1609
474,280,1265
1383,598,2593
3084,1864,2807
3129,2636,1487
2026,1869,1086
2238,2269,1114
2536,2147,2895
1823,2415,269
1295,1236,2963
2050,919,2839
240,2888,-1
891,-1,-1
1269,-1,-1
2487,-1,-1
1608,-1,-1
1396,-1,-1
315,-1,-1
304,-1,-1
526,-1,-1
65,-1,-1
627,-1,-1
1966,-1,-1
1278,-1,-1
1848,-1,-1
113,-1,-1
211,-1,-1
767,-1,-1
1691,-1,-1
2954,-1,-1
491,-1,-1
1025,-1,-1
163,-1,-1
987,-1,-1
2770,-1,-1
2637,-1,-1
1418,-1,-1
2544,-1,-1
926,-1,-1
355,-1,-1
118,-1,-1
2307,-1,-1
2430,-1,-1
2550,-1,-1
2460,-1,-1
875,-1,-1
882,-1,-1
2789,-1,-1
397,-1,-1
2359,-1,-1
1773,-1,-1
2429,-1,-1
1347,-1,-1
3051,-1,-1
2759,-1,-1
2228,-1,-1
1340,-1,-1
902,-1,-1
1677,-1,-1
2670,-1,-1
2175,-1,-1
1744,-1,-1
1504,-1,-1
1461,-1,-1
1310,-1,-1
2964,-1,-1
339,-1,-1
1935,-1,-1
638,-1,-1
185,-1,-1
3075,-1,-1
1501,-1,-1
1572,-1,-1
1007,-1,-1
193,-1,-1
2704,-1,-1
1882,-1,-1
1912,-1,-1
1059,-1,-1
614,-1,-1
501,-1,-1
555,-1,-1
2167,-1,-1
291,-1,-1
885,-1,-1
401,-1,-1
2421,-1,-1
1874,-1,-1
484,-1,-1
1597,-1,-1
749,-1,-1
31,-1,-1
1948,-1,-1
3012,-1,-1
776,-1,-1
2991,-1,-1
2162,-1,-1
1065,-1,-1
1794,-1,-1
1309,-1,-1
2987,-1,-1
2444,-1,-1
523,-1,-1
11,-1,-1
1565,-1,-1
2642,-1,-1
921,-1,-1
744,-1,-1
2886,-1,-1
86,-1,-1
1198,-1,-1
969,-1,-1
1996,-1,-1
2293,-1,-1
2969,-1,-1
3110,-1,-1
3131,-1,-1
2615,-1,-1
1973,-1,-1
2838,-1,-1
2039,-1,-1
1389,-1,-1
1694,-1,-1
1821,-1,-1
1078,-1,-1
38,-1,-1
648,-1,-1
1975,-1,-1
531,-1,-1
1423,-1,-1
1925,-1,-1
2285,-1,-1
1056,-1,-1
567,-1,-1
292,-1,-1
1563,-1,-1
714,-1,-1
495,-1,-1
2065,-1,-1
2949,-1,-1
1980,-1,-1
2622,-1,-1
1679,-1,-1
3091,-1,-1
2539,-1,-1
1654,-1,-1
669,-1,-1
1552,-1,-1
440,-1,-1
2032,-1,-1
1376,-1,-1
1713,-1,-1
2195,-1,-1
221,-1,-1
3024,-1,-1
890,-1,-1
210,-1,-1
1662,-1,-1
442,-1,-1
1016,-1,-1
1325,-1,-1
3047,-1,-1
667,-1,-1
167,-1,-1
2371,-1,-1
590,-1,-1
1279,-1,-1
144,-1,-1
1763,-1,-1
97,-1,-1
1491,-1,-1
1863,-1,-1
2617,-1,-1
2555,-1,-1
1613,-1,-1
2752,-1,-1
1960,-1,-1
828,-1,-1
700,-1,-1
250,-1,-1
596,-1,-1
997,-1,-1
2726,-1,-1
2199,-1,-1
2947,-1,-1
5,-1,-1
733,-1,-1
2687,-1,-1
89,-1,-1
2818,-1,-1
316,-1,-1
2901,-1,-1
1332,-1,-1
1834,-1,-1
2579,-1,-1
1180,-1,-1
2273,-1,-1
1914,-1,-1
2568,-1,-1
2231,-1,-1
2754,-1,-1
2714,-1,-1
907,-1,-1
608,-1,-1
2266,-1,-1
797,-1,-1
3021,-1,-1
1535,-1,-1
855,-1,-1
922,-1,-1
308,-1,-1
1442,-1,-1
949,-1,-1
1580,-1,-1
188,-1,-1
2457,-1,-1
2031,-1,-1
772,-1,-1
1128,-1,-1
816,-1,-1
2461,-1,-1
1511,-1,-1
445,-1,-1
1367,-1,-1
2204,-1,-1
2881,-1,-1
1024,-1,-1
849,-1,-1
514,-1,-1
270,-1,-1
2351,-1,-1
2296,-1,-1
1255,-1,-1
1364,-1,-1
48,-1,-1
2823,-1,-1
3,-1,-1
2755,-1,-1
2858,-1,-1
2811,-1,-1
1192,-1,-1
2500,-1,-1
2599,-1,-1
1711,-1,-1
770,-1,-1
876,-1,-1
1721,-1,-1
982,-1,-1
717,-1,-1
2431,-1,-1
2702,-1,-1
2573,-1,-1
1322,-1,-1
1889,-1,-1
2966,-1,-1
1992,-1,-1
616,-1,-1
2386,-1,-1
2627,-1,-1
2682,-1,-1
2354,-1,-1
2528,-1,-1
262,-1,-1
417,-1,-1
410,-1,-1
43,-1,-1
2005,-1,-1
656,-1,-1
2014,-1,-1
142,-1,-1
986,-1,-1
2822,-1,-1
2871,-1,-1
428,-1,-1
1804,-1,-1
2044,-1,-1
998,-1,-1
1280,-1,-1
564,-1,-1
3122,-1,-1
1230,-1,-1
2465,-1,-1
2955,-1,-1
556,-1,-1
625,-1,-1
2950,-1,-1
22,-1,-1
761,-1,-1
107,-1,-1
264,-1,-1
2587,-1,-1
2338,-1,-1
1554,-1,-1
2254,-1,-1
2150,-1,-1
1031,-1,-1
1866,-1,-1
1523,-1,-1
609,-1,-1
371,-1,-1
3044,-1,-1
728,-1,-1
1766,-1,-1
220,-1,-1
948,-1,-1
2661,-1,-1
2743,-1,-1
2695,-1,-1
2517,-1,-1
1077,-1,-1
2388,-1,-1
727,-1,-1
724,-1,-1
2977,-1,-1
2946,-1,-1
2525,-1,-1
59,-1,-1
1466,-1,-1
600,-1,-1
2492,-1,-1
1512,-1,-1
2328,-1,-1
3025,-1,-1
1590,-1,-1
2848,-1,-1
422,-1,-1
1790,-1,-1
2816,-1,-1
2979,-1,-1
2393,-1,-1
2348,-1,-1
1409,-1,-1
1899,-1,-1
1720,-1,-1
2219,-1,-1
2435,-1,-1
833,-1,-1
2656,-1,-1
736,-1,-1
2111,-1,-1
1968,-1,-1
1780,-1,-1
1366,-1,-1
1348,-1,-1
1446,-1,-1
1089,-1,-1
1223,-1,-1
1910,-1,-1
2909,-1,-1
340,-1,-1
1456,-1,-1
1911,-1,-1
2970,-1,-1
1890,-1,-1
1028,-1,-1
1072,-1,-1
2795,-1,-1
1748,-1,-1
155,-1,-1
2957,-1,-1
3114,-1,-1
2227,-1,-1
1288,-1,-1
2989,-1,-1
3121,-1,-1
2724,-1,-1
591,-1,-1
1861,-1,-1
1013,-1,-1
2152,-1,-1
2055,-1,-1
1876,-1,-1
1438,-1,-1
607,-1,-1
1195,-1,-1
1335,-1,-1
1052,-1,-1
1064,-1,-1
642,-1,-1
2806,-1,-1
1642,-1,-1
3120,-1,-1
2190,-1,-1
2375,-1,-1
2922,-1,-1
2597,-1,-1
2082,-1,-1
2782,-1,-1
708,-1,-1
1222,-1,-1
3116,-1,-1
2560,-1,-1
2079,-1,-1
2450,-1,-1
2437,-1,-1
507,-1,-1
344,-1,-1
1699,-1,-1
651,-1,-1
336,-1,-1
2997,-1,-1
423,-1,-1
709,-1,-1
1533,-1,-1
1261,-1,-1
2868,-1,-1
2436,-1,-1
536,-1,-1
2590,-1,-1
1197,-1,-1
2515,-1,-1
272,-1,-1
2203,-1,-1
201,-1,-1
2553,-1,-1
792,-1,-1
2046,-1,-1
2948,-1,-1
1787,-1,-1
1922,-1,-1
1880,-1,-1
1237,-1,-1
2745,-1,-1
1957,-1,-1
2086,-1,-1
1410,-1,-1
2533,-1,-1
2857,-1,-1
312,-1,-1
2098,-1,-1
434,-1,-1
435,-1,-1
3095,-1,-1
980,-1,-1
2343,-1,-1
2534,-1,-1
361,-1,-1
1963,-1,-1
446,-1,-1
2138,-1,-1
1275,-1,-1
2748,-1,-1
3107,-1,-1
3043,-1,-1
1666,-1,-1
1082,-1,-1
3059,-1,-1
1601,-1,-1
1761,-1,-1
138,-1,-1
388,-1,-1
2253,-1,-1
1135,-1,-1
1426,-1,-1
1103,-1,-1
2984,-1,-1
1987,-1,-1
489,-1,-1
771,-1,-1
603,-1,-1
1792,-1,-1
1467,-1,-1
2341,-1,-1
2270,-1,-1
1420,-1,-1
2215,-1,-1
903,-1,-1
406,-1,-1
1849,-1,-1
1490,-1,-1
666,-1,-1
3056,-1,-1
1500,-1,-1
720,-1,-1
978,-1,-1
765,-1,-1
1073,-1,-1
636,-1,-1
2353,-1,-1
2262,-1,-1
2246,-1,-1
553,-1,-1
739,-1,-1
236,-1,-1
1066,-1,-1
1359,-1,-1
1259,-1,-1
1612,-1,-1
2017,-1,-1
2085,-1,-1
169,-1,-1
2205,-1,-1
2628,-1,-1
2037,-1,-1
1039,-1,-1
1793,-1,-1
2815,-1,-1
589,-1,-1
2505,-1,-1
1595,-1,-1
1958,-1,-1
546,-1,-1
386,-1,-1
1959,-1,-1
674,-1,-1
500,-1,-1
2288,-1,-1
2633,-1,-1
1315,-1,-1
2889,-1,-1
861,-1,-1
1936,-1,-1
871,-1,-1
835,-1,-1
3049,-1,-1
2282,-1,-1
2906,-1,-1
1394,-1,-1
2971,-1,-1
205,-1,-1
2674,-1,-1
2330,-1,-1
1920,-1,-1
117,-1,-1
2753,-1,-1
1464,-1,-1
1284,-1,-1
710,-1,-1
1970,-1,-1
2275,-1,-1
1788,-1,-1
30,-1,-1
1413,-1,-1
278,-1,-1
2071,-1,-1
447,-1,-1
2250,-1,-1
815,-1,-1
2092,-1,-1
1154,-1,-1
1286,-1,-1
1489,-1,-1
3053,-1,-1
1204,-1,-1
2128,-1,-1
862,-1,-1
1362,-1,-1
91,-1,-1
677,-1,-1
1855,-1,-1
1813,-1,-1
1686,-1,-1
1797,-1,-1
1358,-1,-1
1752,-1,-1
3102,-1,-1
2106,-1,-1
2428,-1,-1
1736,-1,-1
2774,-1,-1
3137,-1,-1
3115,-1,-1
766,-1,-1
2925,-1,-1
2999,-1,-1
1023,-1,-1
1201,-1,-1
425,-1,-1
1388,-1,-1
2129,-1,-1
864,-1,-1
1091,-1,-1
1387,-1,-1
2514,-1,-1
2790,-1,-1
557,-1,-1
2563,-1,-1
244,-1,-1
1497,-1,-1
856,-1,-1
1575,-1,-1
2769,-1,-1
2409,-1,-1
965,-1,-1
300,-1,-1
1908,-1,-1
2472,-1,-1
1406,-1,-1
2705,-1,-1
2178,-1,-1
945,-1,-1
1168,-1,-1
1862,-1,-1
2127,-1,-1
806,-1,-1
2030,-1,-1
2686,-1,-1
1146,-1,-1
497,-1,-1
1130,-1,-1
418,-1,-1
229,-1,-1
110,-1,-1
1345,-1,-1
195,-1,-1
2426,-1,-1
561,-1,-1
2260,-1,-1
2007,-1,-1
1324,-1,-1
1049,-1,-1
3119,-1,-1
235,-1,-1
1845,-1,-1
715,-1,-1
1318,-1,-1
1659,-1,-1
1562,-1,-1
2445,-1,-1
516,-1,-1
1851,-1,-1
617,-1,-1
825,-1,-1
801,-1,-1
2157,-1,-1
473,-1,-1
2866,-1,-1
3013,-1,-1
1311,-1,-1
69,-1,-1
2737,-1,-1
2730,-1,-1
639,-1,-1
2202,-1,-1
1099,-1,-1
130,-1,-1
174,-1,-1
1272,-1,-1
