train_indices,valid_indices,test_indices
2590,4253,992
2524,1515,3548
877,2759,2062
502,3546,4020
1672,972,721
1635,828,2523
1960,2247,805
3722,4883,5014
1139,1447,4986
2828,313,3991
417,697,3754
4503,1200,1341
4256,3794,3222
3332,4971,4179
2992,4652,1785
4346,3385,3375
888,1542,4906
2393,1310,4525
2671,216,4228
2945,1210,1484
839,3640,3106
3745,552,3147
3145,2447,1502
4893,4915,1941
4676,844,23
3591,2112,3926
4708,2418,1589
1150,4356,2986
3302,1069,1570
3107,3849,1853
3691,2563,3187
3712,4758,764
2874,1560,1434
1857,2168,2807
4671,1065,97
750,4286,905
4566,2442,342
2576,3960,1403
1783,1761,5013
4850,4649,1386
3693,782,533
2310,2368,3812
3038,4163,2806
4261,122,3098
75,1723,4126
4096,4832,2647
4805,4696,4269
4828,4811,4013
390,228,879
443,1712,1704
3111,2425,946
1643,2372,2844
3697,4600,3685
1197,3977,2567
3238,195,3650
989,4692,2029
3179,2898,3996
2096,2288,13
2900,4302,3206
4508,3568,635
4824,2946,960
3946,3079,1443
4080,1048,3014
1130,295,1650
2038,1382,4622
4913,4534,2063
260,4660,1781
4027,1835,3181
4707,3677,2082
903,922,2032
2468,2728,2238
310,67,3207
1362,2079,2618
540,2100,3423
4216,300,61
1500,3192,3895
1387,1279,4515
5012,3507,4224
4698,2657,2264
3947,2350,3656
1239,2723,4451
4039,3267,761
3759,5015,4873
3447,3141,4980
962,4172,2639
3268,505,2989
1191,4349,3027
3080,753,1568
425,1942,1410
3085,604,3277
3404,3121,4326
1954,1913,3785
158,3254,2766
429,1414,1860
2319,2707,633
3672,4211,2294
4611,1276,4860
136,610,3433
4325,2892,4273
4934,284,2157
2202,309,456
3750,225,3634
3899,3873,636
1187,645,481
601,1238,4183
4748,3950,3541
3474,4419,3827
1444,154,868
1049,1394,599
317,1110,2554
1084,4175,2888
4594,2122,2719
2996,4345,100
938,2774,3813
776,4217,4142
4943,3024,1428
3501,3801,2199
1905,3114,3598
1833,1848,4981
532,3419,4517
391,291,183
2687,3058,144
605,1707,4442
752,40,4409
2611,520,2475
676,495,1044
974,1487,1677
4016,1649,3319
4917,4417,336
2407,2720,4237
759,4037,970
4490,1127,3021
345,3210,3508
2970,1050,4532
4853,1257,42
2729,2787,1863
3510,4761,3457
4222,1721,2880
4842,3065,2654
563,3306,2591
3563,2542,4614
229,3146,1469
4021,4316,1221
2504,4587,3231
3661,2537,4969
1982,1055,3515
2423,535,4148
