train_indices,valid_indices,test_indices
888,3200,2780
1873,3932,3145
2509,1330,2611
3370,3469,3622
3788,1421,4591
3548,3822,4827
184,59,1848
4275,239,1765
2868,2605,2464
2303,3940,146
1187,3549,4679
949,1355,185
5014,3141,1570
326,856,114
537,2407,1602
3363,496,99
2754,3537,3977
1238,2978,1995
3787,2034,4354
1316,4887,617
2018,3684,361
1054,4142,1992
4862,1292,2804
830,2337,2420
3775,2643,959
2130,4088,3221
1778,2935,4304
4726,3047,1727
3516,2958,254
1951,3032,3859
2566,2294,632
4660,4467,3967
4451,1708,1887
4313,3779,3046
2450,1365,973
3578,1385,3628
2913,3964,3697
504,2159,3834
3518,3059,3597
563,2447,3488
4342,1195,4031
302,4855,1852
929,2943,4227
970,3153,4711
3195,2419,793
112,56,3310
4864,1973,2984
4921,4058,3401
393,1816,3102
3785,3134,1726
4812,1624,1283
1500,2300,1367
234,4934,68
2550,2631,3350
3845,2801,3888
469,3478,4929
3403,333,4362
3574,277,4774
2280,2073,4485
222,2133,4688
2593,4110,2408
843,104,144
681,1642,1018
2436,811,4087
516,1817,1888
2955,3138,1574
4883,2400,3188
640,374,4931
4557,196,1527
3821,4572,3440
1073,880,2001
603,3229,4155
3993,1718,1572
4804,1294,3646
2845,4404,1344
3514,1964,437
434,1662,2261
2397,4412,3262
1298,3929,2253
2115,3589,2721
129,1347,1050
4207,4719,1217
4303,2614,1875
3176,3718,341
3166,2917,3872
3557,2927,4102
3179,2591,1296
1786,132,368
2306,3916,2901
342,1886,3917
1697,4254,453
1143,3450,874
1548,664,1447
1503,3033,2268
634,2046,2278
1481,825,4644
837,2193,1811
1928,1411,3005
839,2143,4978
4672,1041,1120
4819,3012,526
2305,1303,4821
3290,4130,4907
1219,3038,568
2247,4141,4765
770,2121,804
2638,3794,1064
2964,4328,4868
1369,1842,1906
2137,580,315
2492,153,13
3072,991,362
934,1291,1810
2617,4560,2682
2174,942,1441
1310,1616,2725
2642,1084,4253
4667,2472,2202
2753,3327,1286
3513,359,4336
2798,4538,424
2988,3249,2454
559,3720,960
53,1560,3521
967,3771,1098
2734,1489,375
3765,1957,105
3096,2564,4640
2722,2047,75
2649,3715,171
3201,1306,1461
2354,2658,1896
1293,4651,2866
4368,1774,345
1622,3914,2915
4536,4340,181
4129,2299,1130
4357,1582,3808
781,4702,2309
1200,3679,1338
3068,668,767
1124,4168,3802
1985,60,541
1781,2081,4888
1327,3924,3395
3852,3170,3462
2254,4318,2769
1864,2291,3855
4879,3183,4663
4083,308,4583
1410,842,4257
447,3357,1159
3835,1267,4896
3497,216,3876
44,901,1524
1448,3115,3273
240,2425,4987
4534,3730,3232
1649,2005,2619
4281,3295,555
1820,5007,1884
1281,370,1600
3956,4323,2110
1647,3500,3773
1381,2885,409
1604,435,2530
4113,3427,3104
312,3615,41
2815,2413,2423
3189,4007,2841
4090,1177,1438
3492,720,2166
3703,2533,1000
1843,221,4462
687,3767,380
1371,3951,2024
2500,4853,1093
1236,4510,5015
624,3148,33
106,2334,1542
2565,1735,922
3638,1222,566
1571,3649,4370
2994,490,420
3074,1259,1830
1695,3743,4201
1037,3406,2158
476,2939,4915
4547,1046,3330
3945,4276,2226
118,3709,4525
4483,2207,701
2944,4643,2661
3256,1484,4089
58,3246,1081
209,1280,3925
4029,4624,3873
2099,4246,3408
3531,4027,1981
1275,2366,2393
1405,595,3535
4835,187,4976
1043,1416,87
3691,1492,1048
4053,1059,3499
82,2510,2236
4298,1627,4244
2387,655,108
3218,3437,2511
3937,1101,423
2713,2960,2654
4687,1116,2356
4945,1748,1150
1929,2545,4720
3933,4781,191
1288,4550,1724
1493,4913,2092
3920,834,4071
31,1994,4648
3288,2062,3560
761,3212,3023
3511,1961,1587
1680,2453,3816
414,2997,4277
1100,2977,726
4900,52,1593
3351,2860,3231
123,3090,756
4068,2621,819
1804,1282,4772
3081,1134,4609
4125,1408,121
1322,1770,2970
392,2708,1476
4327,1009,2670
2630,4452,3470
4150,1428,2904
2861,2003,3753
4539,2220,1917
3705,272,2628
4989,1855,982
4176,4599,1772
1578,2250,2656
369,2571,2525
3869,3740,1003
3489,5013,2540
4721,1684,4100
4742,556,1924
3365,1845,1426
172,1097,291
1937,4727,2844
2022,2710,828
3503,2698,2033
4216,2346,3990
2098,2876,283
2505,4450,4003
4564,3452,4786
1915,1751,2560
1707,432,728
2192,3974,866
940,1118,446
995,1876,1017
4541,1226,971
4741,3118,4799
3921,3541,4139
3761,4026,4622
3963,4395,2608
488,4439,3584
716,4423,1675
256,4181,4437
2135,4947,4238
935,2779,4114
1674,2805,298
4889,324,4099
4935,2167,443
2061,371,2030
3609,1752,1883
1916,3011,1029
2718,278,1996
1784,3585,1665
3245,3969,2097
5012,2528,2592
3133,3563,3665
5009,1403,9
1354,1871,3796
3686,1877,134
4381,3900,50
1276,4359,3119
266,2996,2676
4272,3257,492
3953,4152,553
648,2442,3706
3460,1970,3067
320,1108,1432
3056,3439,2019
997,618,440
45,3215,2863
1620,1933,4367
4490,910,1833
2321,1636,540
1103,161,2206
1976,3414,4287
4140,1913,4499
1352,4951,2076
4146,2201,2288
4528,1914,4112
600,2266,2282
965,282,3670
1378,1075,1442
79,733,613
1516,4577,1383
4703,1459,3693
2812,639,3425
3010,4166,3901
532,207,4670
145,2518,1899
3512,4731,1853
4222,4901,2380
310,1456,2811
2966,1589,4028
2899,4630,497
2707,994,844
4107,927,1813
2549,2233,2117
4507,3832,3995
696,1872,3355
3594,4217,464
534,1539,3672
3020,2961,3045
1836,2808,2058
1060,517,894
3510,1566,373
1039,2684,4681
3315,1645,2695
3336,2328,2983
1538,2965,1826
2882,2415,2923
4926,3823,4070
1115,3180,130
1725,1112,4533
2526,3456,3943
2204,3739,968
1677,57,1506
156,4890,2197
3593,938,564
2948,584,688
4920,4162,3405
2341,1337,2179
4081,4052,4442
477,3308,4406
3065,3254,1245
204,4963,2259
1205,4771,1687
69,3432,4242
3660,360,1249
3825,1599,1988
4784,1825,2265
2607,2618,4642
3857,937,3583
524,2150,695
4903,331,2976
1715,4780,4858
2837,507,3690
2522,1879,2087
3688,3320,2258
4410,2374,1815
686,599,4174
4175,1011,2388
3224,917,3582
2310,1569,1156
4806,3190,3854
1851,1711,4930
4748,1865,2486
2921,4613,21
3918,920,5010
4516,2257,533
1439,62,3116
238,3662,2786
2345,4937,4169
248,3314,1189
2323,1758,4904
2339,2705,1734
1007,3804,2813
4965,2583,1063
2501,4477,77
3571,4902,1326
66,575,2716
3906,4634,3812
1945,1397,1594
3484,2683,1828
4255,206,1312
1667,182,3108
3352,2956,3139
2276,2561,3444
81,4801,4403
2597,4219,2493
4778,4223,4347
4680,1036,193
4011,2040,3721
635,865,2692
3539,1140,3599
38,4971,4842
2799,4231,2029
3185,1632,2488
3465,236,2274
22,1422,2416
4286,3100,3260
579,606,4188
509,3598,4
2032,3881,2487
561,3105,3614
4215,1419,3979
1110,1313,2466
4830,1971,348
3731,2469,2739
1333,3848,805
3024,4545,3122
1028,229,1694
1342,1485,4597
3445,4600,4655
2128,2675,4389
4049,1797,232
2428,455,1730
1577,1057,855
1936,1231,2735
1166,1966,3828
5008,3280,2140
1044,543,3194
1407,2153,941
4245,3160,4917
1305,3623,2435
1099,4060,4982
1239,4959,1555
4794,3073,747
2048,4661,479
199,3429,2802
2451,2889,3975
1822,1480,4250
3143,4834,2399
1339,3992,4933
19,2083,3677
2814,4345,869
3192,1980,718
1849,4678,289
4429,4075,2894
3375,25,704
3517,594,1295
4376,1263,2507
557,3763,2825
3998,3173,711
3459,4239,736
1709,4675,3181
870,136,4419
211,2497,1568
1377,2529,4612
2759,471,3948
1366,4581,2625
755,3884,1846
1749,2155,1056
3129,100,3110
269,2219,3333
1299,4710,3885
1958,4432,4732
1860,2892,247
1596,23,4038
3707,3864,3946
2897,2173,558
3217,377,4808
3169,3700,5
1628,4316,4067
1490,900,3034
2180,4939,791
2690,4043,4351
4763,1835,4210
2188,3311,966
3726,4777,1919
881,1486,508
4991,3491,2113
741,3981,3887
2243,4607,4469
489,2281,4729
76,3991,2267
1783,2107,2075
1623,3389,4891
3576,4785,1287
4094,1074,439
2103,3546,3184
670,2287,2426
223,4059,4686
3504,3337,4824
1329,4554,3356
4608,3361,3264
1040,3612,428
4294,4394,954
164,328,4236
3117,745,3814
3095,224,4839
3028,3815,2579
1368,1788,1827
2872,3725,4230
1942,4669,1960
4045,1265,4374
3664,4998,4051
4788,2836,3277
2154,2284,1564
4918,37,2709
3797,3253,2898
2639,2973,3052
4344,2225,4122
1631,4881,3632
4021,4234,4020
1502,474,4704
1157,4925,4134
89,2324,1453
1801,3555,962
3877,2749,4960
883,4730,4645
4910,5000,4546
2995,836,2242
2655,2459,4523
896,1701,3756
1087,2489,4977
649,2231,2842
752,296,2910
3553,3968,715
766,4224,2427
2051,1934,4766
3919,1269,2954
1764,4189,259
2562,1173,1874
4967,51,930
4350,26,3620
1430,2446,651
3817,1610,343
4565,1482,4324
2395,2896,2959
3343,4037,1172
2353,992,2999
1744,3495,923
4768,3750,2293
1022,1869,3317
1586,4295,4526
3435,519,1793
4008,2782,2491
4629,468,769
2483,2146,712
2687,1264,183
2568,4013,505
4789,4936,2937
1861,3895,1083
2057,4010,4306
1943,2916,4387
327,4349,1779
1068,3980,3544
3431,979,2088
808,1741,1659
3806,647,833
2028,2724,4495
3587,882,518
3458,676,4151
1284,2038,4407
2878,3426,3480
1332,3770,3097
2563,3580,2553
4135,1699,2740
2662,2827,3021
775,1520,397
351,1685,1270
1716,551,1739
