train_indices,valid_indices,test_indices
8902,12246,13363
8925,13492,12805
1624,528,7102
6827,842,10919
6067,6993,6770
3829,4761,5142
10745,4407,8781
13142,11149,7433
10412,2405,5937
10289,12270,4876
11844,4228,3586
7676,641,5769
5801,2376,5704
3050,12393,426
413,2158,3995
11158,1556,11584
8558,9563,2326
358,3135,2260
11988,12597,9470
10533,3207,12443
701,12459,6643
4412,6071,2547
10835,2101,4819
9051,9906,7802
10201,11816,1524
7807,6723,11814
1016,2792,9145
7724,13524,8342
10907,8613,7624
8075,7617,3087
4808,507,8585
9480,5841,9448
226,9166,13795
10177,1088,13184
3197,659,12083
11614,4358,13678
5402,11062,10819
11827,4553,7163
11212,1102,6908
5814,11889,8918
11269,1818,7082
9177,13360,1334
12276,7622,2243
8453,11162,11713
4987,6537,4171
8112,9215,9685
12167,3103,9841
12869,5725,2743
7131,6162,12024
4223,68,13899
9160,13521,10854
77,6416,13824
7261,13756,687
1807,7548,10231
12442,3392,5579
4066,13219,1064
5486,10679,13405
1956,4461,13875
8710,421,6838
1950,13911,6184
2954,1943,2555
2936,349,7090
13331,4274,10769
13304,2848,256
6037,1625,3094
7662,5734,327
434,11555,9800
3981,9142,6547
13663,8039,9932
5081,8672,9875
9490,12876,13349
6716,3782,8415
157,5727,386
7193,11262,5129
215,2648,4868
7625,2632,12567
13611,11015,770
2534,3144,12887
9222,899,12410
11029,9460,1752
10224,6501,3199
3285,7817,10185
10577,13684,5007
5843,12062,7616
4473,13469,120
4310,3128,7872
8804,10820,4677
7435,10288,2766
10950,2169,94
2127,47,8833
8378,11585,5396
4943,3765,9241
10616,793,8811
489,3703,148
12168,1928,3235
12141,5816,408
11329,10182,9082
7358,545,929
3743,9699,837
13006,7996,597
4033,12911,3424
4360,7908,13625
2038,1214,12632
12333,13178,562
8162,11799,2098
2663,7353,2551
1581,680,3219
12002,555,380
13942,6327,1104
12384,1464,1213
13957,490,13709
13760,11757,2460
4158,12461,12120
4618,9278,12147
8854,3145,3086
3186,5154,9948
6099,2543,2247
1111,10978,6703
3404,10740,1167
2706,6225,12815
3331,9686,8639
9444,1830,4055
6014,9872,7737
12123,1177,10946
7268,4402,8878
7216,3204,9771
1687,7860,8529
12516,1374,2557
2834,4073,13446
12895,12676,5509
11687,3297,2159
11002,4920,11792
3369,13765,10155
7711,6035,5465
31,9913,4116
8456,9584,9881
9666,6859,14015
6180,2948,6305
7643,665,9862
6749,13474,558
7986,3280,3174
13181,8982,10801
12248,1119,1454
7815,7890,6645
1323,12502,4345
8019,3521,8420
6893,1733,9062
9820,8584,5035
11307,1882,13788
10298,1692,531
560,6729,8425
3180,8105,9130
4824,8351,10439
3805,9483,14135
8626,4001,6884
9350,13499,3474
10511,3005,13595
3594,13518,5114
13317,11682,7822
10684,11291,1175
7155,7120,2117
10686,10199,6940
9992,12643,5288
12192,4422,7957
883,13464,248
1085,11054,12756
4215,9804,11524
7452,2754,13392
7003,4673,11320
13434,4489,3469
12768,6505,5628
7788,4619,4746
10493,13926,2413
6179,8034,10543
7521,11146,13941
11678,7519,8469
3234,2693,11169
3079,9111,7626
13495,7727,2773
13578,10733,3768
12421,11656,8892
1579,171,9140
11264,5676,13771
1508,11680,9554
7938,3116,6767
905,2359,7543
