train_indices,valid_indices,test_indices
576,5576,5687
7145,4489,6995
2097,3103,6780
1711,3449,54
3043,8899,7215
1116,4368,6609
5412,3632,5883
7525,7733,3843
8747,6809,6102
882,2085,4586
6273,7851,4511
6839,2961,7828
6885,8820,5912
4789,1779,447
3493,3123,2422
2156,4571,4962
129,5625,6952
616,7500,1073
5580,6619,1742
220,3665,7029
123,8034,3971
2252,8408,2083
248,5104,2400
1246,4553,2187
1323,7061,5076
7832,2975,7108
170,4352,4951
6993,3228,3417
7579,8640,8898
8692,4370,2347
5297,3345,4373
1174,2853,5298
892,7420,799
5518,7529,8061
4914,2396,5654
3018,2268,7869
3227,2130,5870
7155,4351,6436
7032,3627,6005
7501,5239,8759
3673,5035,5330
5442,4572,8589
8097,8582,1657
2316,653,187
3806,4754,558
1345,7807,1457
4476,6101,3863
2177,3637,1002
7606,5085,5445
510,2806,8324
5448,5184,7065
5868,6505,2058
6053,7926,7300
7994,607,4703
5193,1645,6938
5821,2993,8757
5594,7876,772
3463,312,763
4032,1472,97
1362,3298,6081
4265,2908,117
3034,3305,656
6349,5916,5959
3798,3680,3818
1981,3593,3330
1925,6525,4150
3577,7461,8761
1053,3222,5336
8278,4129,6934
3284,5130,7927
7491,1470,6622
1341,5816,4437
959,4762,5766
1745,928,709
6396,6637,2010
5530,4645,3916
7135,922,2096
8749,593,2456
8108,4345,4581
5496,3414,6344
7066,715,3856
2911,1024,1213
8138,1653,2218
1475,7684,776
2488,987,1595
2452,8402,4953
1450,4505,146
5316,4464,7647
7326,3109,2603
3006,7654,8590
5551,2034,1210
6540,7632,2608
199,1268,431
6911,1439,4357
4917,5874,6561
1537,939,241
8304,1533,634
3759,6516,7688
2240,4633,5433
3939,3372,2352
1743,3671,4270
7228,3360,8653
5755,8706,1731
8020,7273,2752
1876,5252,7837
8233,4809,8570
5425,5305,6539
5004,926,6844
4613,3693,8240
2317,3000,8835
5436,2969,2444
600,416,345
2575,1709,5757
789,3852,8208
8350,5639,7322
2782,8335,3375
8045,7070,2152
6941,229,1574
6989,1369,4531
1797,5200,1281
550,7494,4076
3148,182,168
213,1714,1292
1078,2135,1117
3683,7695,6618
359,751,4250
4344,6966,3840
5612,5808,567
3195,180,4268
1732,7307,4950
8389,8267,6939
5647,3045,7417
1604,3197,5990
2117,4685,7082
6665,2675,5527
365,1612,985
774,5899,7008
5928,2997,7983
8784,1018,3292
310,1353,7046
724,7270,1228
