train_indices,valid_indices,test_indices
3741,906,10244
7046,5544,4961
9902,4389,3391
1007,9201,10647
45,9882,838
9252,3986,4399
295,5382,5175
6834,9354,1346
7265,1772,2599
8976,10841,9282
4648,651,325
8892,7887,6245
9706,10392,2866
902,10166,1437
8588,7208,9861
587,963,10020
8773,884,1711
4438,5611,1325
8504,740,2316
8620,2488,2937
3392,4990,6596
4423,3159,1942
9916,10169,1411
6301,1204,9149
299,10850,2750
10706,1324,262
2747,1429,2562
8695,1985,3177
9346,8325,1056
1044,8052,4643
5397,8535,5794
6011,6232,1470
1974,10353,4677
8242,8696,7134
8784,2439,6656
7352,6538,2939
4557,242,1628
6241,129,2345
9624,6678,4499
3720,2699,38
9122,3026,3171
4268,9651,3370
7668,491,10267
4770,8393,4312
9838,10354,900
6131,8207,4450
5706,8331,10162
6532,9326,2222
2700,2948,1107
3603,9780,1416
6104,2798,10340
2471,4056,2743
8877,5527,9060
7396,99,10772
10306,501,8414
655,1816,7588
9249,461,10359
8378,4667,5730
8255,2820,7306
8975,10086,5646
10798,6026,6431
318,1858,3372
6990,6239,1067
7535,4218,4177
10634,6119,10149
1005,1467,3132
4778,7073,4644
9477,5256,5879
10123,6587,8142
958,195,6037
1288,4895,7491
1155,3531,10056
10742,6244,2591
10488,10396,3525
3910,10514,5299
5450,1341,6034
4973,4291,7538
2116,4803,3789
3924,5423,4756
1229,10633,1460
8905,937,8280
641,10817,3927
7065,5406,10729
1276,4707,4747
5096,918,7251
7559,4112,3494
7205,1166,4688
7743,8918,5497
8473,9741,8397
5346,9958,8563
10858,9801,9945
6630,3562,2858
8822,8362,8259
4886,10156,4107
687,5205,2770
2129,1765,1635
2312,8538,4661
9465,4224,4601
7842,2843,4194
7977,7329,4343
9742,9320,8622
8548,95,5970
9164,1093,9992
14,6706,5279
4909,227,8099
3771,9654,555
5704,1945,7972
2487,6208,8132
8813,9510,7520
6105,8654,7962
1271,4195,51
10339,2819,5336
9635,8161,3325
4628,898,9690
4207,4003,4236
9914,9134,588
4846,10711,448
9544,10419,9140
10474,6235,8881
8038,9384,1596
9660,10033,10449
2947,7501,10638
6196,6648,6008
102,8883,1420
8384,7258,10454
5421,2444,578
6547,10728,378
3040,3172,1819
10301,10793,3480
3911,6334,1581
10827,6740,4919
1344,672,4563
5202,8027,2142
5520,4728,4095
3363,4848,7148
8090,9904,4401
5664,5565,9929
8415,5623,9738
10600,3378,5767
6402,1668,3220
2458,10595,4377
7989,2623,7557
9666,3056,10759
1488,6739,10062
7138,8572,1047
4512,10081,4097
3596,2535,10197
9160,4405,7165
7677,2673,2159
7136,1487,6524
10654,119,1199
7567,4357,6027
9808,1910,5562
3773,8911,3306
9995,2767,6381
8379,9049,4143
1227,3360,9493
3958,9534,4036
7894,2497,6516
10674,5323,243
8043,9426,9704
4650,10190,2992
211,801,8928
9513,5801,2619
2907,1743,3244
1666,4055,8470
6315,3084,4468
9978,8726,9153
10117,843,3329
4853,8802,8
2762,7122,3969
166,8251,6012
6529,1883,2342
6141,9913,10181
4805,6226,4045
3952,7047,7615
10470,8123,901
4571,2011,3677
1740,7397,4278
10464,2149,10400
9239,4538,3316
3903,2208,9630
9451,158,10191
9584,3755,10421
2398,3143,2814
9607,7381,224
9973,1914,4251
3633,7821,8984
4013,7957,1221
4736,10691,3108
3626,6316,9844
731,6423,9107
7421,4646,9501
9816,9710,7154
1729,263,7855
9438,3837,1552
3938,9235,1549
606,10371,3948
5811,3454,9770
5915,6584,1679
667,2507,5305
6044,3196,4683
4259,6854,6399
6601,9403,6255
8066,5768,177
6839,7386,7053
5098,6646,9366
4294,9495,2614
1530,6280,4173
7586,10106,3819
2543,7854,2283
1809,3386,5977
7930,3190,6128
8093,7730,6108
10186,3180,4463
3509,4608,6049
4420,6728,9288
2210,9000,3631
791,9692,6685
10573,4198,5536
9867,4748,4487
9675,2588,2481
5230,15,6654
2035,3729,4360
6317,7772,7882
2860,4071,2235
2452,4890,10252
3341,4295,5457
4382,8000,2968
4077,3422,5707
10295,9577,4362
5835,7725,7338
8946,6750,6767
5066,1264,10074
3475,9202,8409
9562,9923,1473
3867,9356,8186
10789,5551,3315
4793,9184,8373
7648,4881,8167
978,7848,9600
7695,9814,4331
9363,1722,8225
6652,9546,7992
1065,5528,3557
1350,5715,6903
2511,1678,2925
6602,6205,5475
2335,7059,2625
4125,8725,2671
2643,2358,8728
3901,2462,6322
3529,5783,7653
6042,7343,9480
10722,6592,4977
9724,8356,5930
8655,6619,3379
5712,9455,9989
1698,844,9243
5927,4535,2046
7252,7639,7095
5708,2593,8640
1967,6371,653
784,3352,10661
4355,5907,5223
1656,5847,4598
10330,6582,316
8999,4154,850
9528,4028,8149
4460,3100,4595
6930,7729,7311
6663,4446,2757
7295,1481,6544
4799,956,8072
8266,9550,6572
490,5902,10714
1776,9898,10403
10283,8697,3644
9661,10282,2685
583,9010,6933
7094,2361,3836
8738,4715,9263
142,9044,4264
9843,7327,9200
867,2491,68
8907,1205,7282
2781,10656,9076
8793,5467,2694
4849,1842,3630
6588,8643,10376
1055,1495,7481
7837,10399,4584
8541,5012,10498
4887,5109,7873
2426,3287,5246
9744,4761,3088
9129,6845,8035
7061,6816,876
6147,8007,8102
3931,150,2517
3919,7756,2799
4903,5643,1915
7838,4680,3799
2096,3876,9866
7480,521,8941
5966,6991,5459
6482,321,2863
8832,8294,4629
8834,2534,7738
8438,3807,6621
267,5436,1756
7779,9371,2765
6553,586,1527
10124,8247,6555
8232,540,5267
787,10057,7132
3713,2148,4373
5270,1907,10452
10032,5867,4975
6682,8196,5914
9296,3822,10370
7245,4986,7670
941,10548,7108
1541,9034,1072
10853,9144,6605
9188,10296,2691
2963,3569,8531
3479,9206,3683
5130,377,10447
2771,4172,7473
5079,9306,1278
2779,2337,8173
1057,7123,4506
2354,2253,10632
8551,6091,2090
223,10861,559
7183,3730,280
2502,5496,6525
762,2429,5822
1209,855,3453
4276,7407,5120
7002,9987,7556
7278,7914,8876
2311,10809,7774
7573,6376,2287
2213,10204,6474
1290,5324,9804
101,7249,5596
364,5369,7368
10116,6849,7150
7084,10194,6455
4641,2704,3770
1882,1750,2900
4794,2086,8610
6861,2909,1998
7099,4727,9679
2901,5724,4084
8639,8543,3752
7676,4904,4749
9529,8512,6780
5579,544,4824
5005,7425,7635
3835,4600,1901
8903,9491,1338
4670,3859,5389
4352,5121,10710
7279,7414,10234
3312,2768,9936
6935,19,7994
10762,5127,7167
1164,8634,5269
5103,9189,5254
1331,4245,9568
9405,1035,1977
8523,5671,1704
1609,1575,8145
7337,1404,2504
380,5474,2983
6631,4153,4060
545,8778,6965
2334,9922,5810
10688,8110,5634
2320,1932,4102
3721,7661,2607
9240,8455,7110
6243,2274,7206
1029,104,3785
10323,7510,1491
5908,2216,4857
8265,9779,9764
200,1121,8249
4316,2865,8667
2433,3711,3961
5784,1174,7965
9511,7753,3612
9859,9430,7333
5182,10825,558
9864,5594,7915
1822,4675,8720
7800,8904,4544
10070,6046,2385
3080,1724,274
7350,10378,2692
5513,9829,3637
3117,6522,2059
6278,8053,8764
10420,5904,4645
3624,6039,1301
6836,127,1594
1225,6143,2782
7602,8716,6137
2259,10781,2369
707,6088,5703
10593,3235,1376
5713,5603,3533
6443,3615,10097
7721,2628,3032
5858,2423,8118
9043,5816,1498
6110,9954,1585
7015,6881,5229
3302,3815,2886
1133,8457,923
1673,5396,1317
3521,685,1158
