train_indices,valid_indices,test_indices
125,297,729
5816,2403,3040
1513,4265,5006
5704,4952,2505
6399,2883,5748
1832,4083,1931
5645,781,4750
2825,468,5971
6282,3853,3034
1105,5653,2631
359,6141,3651
261,1149,2372
6077,288,1695
6665,472,4447
3408,2910,4434
1388,3232,801
1754,537,1583
428,4061,3609
1117,584,5812
4839,5875,2624
4677,292,2969
5537,2996,3598
1831,1906,4701
923,4110,1825
4794,1297,6721
198,3231,4099
4263,533,2276
2564,3105,2950
2713,691,827
2571,4379,5406
32,1442,1786
6104,3685,5016
1026,5561,2688
4689,4139,2130
1624,1767,6650
4480,6051,6390
6611,2020,6744
506,3402,5301
439,906,2674
3483,5903,5678
1897,6221,4600
4977,1083,4702
3952,730,5393
1586,2341,6230
4318,1283,5328
1625,5821,4906
6290,4520,5054
611,204,129
1884,4077,5099
5835,4605,5491
974,3758,4915
242,3660,3629
4850,4723,450
1604,5761,1987
1445,1412,2187
5495,2438,5287
4963,3443,6355
6210,4814,2917
2064,933,1175
6373,759,5183
4103,6026,3680
1430,451,6641
6073,3833,3045
5510,524,4894
3702,5480,1163
2421,2639,3620
6330,1874,5892
3736,2258,2644
5315,105,3893
6519,1399,5079
4928,5089,558
4275,1538,2916
2085,3505,6100
4892,3581,2
3220,4385,1162
353,3170,3781
5544,6483,6150
4904,4578,3934
4212,2796,1545
210,5442,4937
623,6742,1573
2400,1043,6371
3827,3160,2904
585,3096,4957
5456,2856,2514
1579,2152,2390
299,460,3406
4341,4893,1420
4449,1260,5376
640,1801,4372
1148,989,6539
2791,138,4514
56,5127,518
445,5266,2982
1214,5988,5220
2081,4591,1332
4216,284,3535
6227,4505,3844
3311,2235,6559
5776,5226,5381
6637,3772,2475
440,6004,6772
4687,182,3243
3227,522,4413
4846,5198,1643
5468,3189,4914
3748,905,2533
545,1823,6200
1970,286,3508
2736,336,4207
1627,5253,6251
5641,4338,5030
1033,11,2447
6175,3618,3986
2178,2186,5696
3638,1390,1656
5604,1553,3907
1818,2998,3360
3898,456,3214
2622,1484,3070
5832,3984,5901
3717,155,6327
2785,5922,2245
6108,2269,996
5531,4579,3148
6506,5914,1920
1265,5282,3401
3288,2890,3060
2287,4665,5949
5549,476,3564
2724,3872,702
1778,530,6112
6464,6336,1872
3848,3144,2224
6193,5723,5312
4177,1855,4354
5466,4990,2595
1074,2603,4398
1986,5420,1593
215,1784,5021
919,2615,2594
2816,396,6298
1090,5309,5388
5392,4511,3610
327,1255,3135
4445,3663,2519
1308,6698,377
21,6603,3337
3229,1127,2534
6518,3196,6228
5626,4638,45
1487,1194,3843
2161,4682,2100
4287,607,3347
6335,4998,3222
1051,5654,4524
5741,6480,2468
62,5499,4006
1509,1728,1634
642,2312,2214
852,2006,2874
5386,6166,6740
6487,3521,2344
5117,5429,6404
4559,235,1669
1898,3334,886
291,4929,4500
5190,806,5422
2007,2388,6563
3720,5242,1753
4756,2677,1463
5252,2553,3822
684,3946,6040
358,2900,588
1886,5278,1596
2703,5936,2271
3287,5340,978
3328,2041,2083
6383,4717,5241
1025,5701,3640
523,6005,1614
955,5805,6565
645,6769,4277
2548,1944,6604
5602,2841,4049
4770,6222,2647
1281,6,1975
2867,104,335
394,742,6713
5525,609,6056
822,478,6089
2956,443,5477
4283,1401,2740
3507,3590,4002
4448,5175,3394
3875,569,2520
2608,6117,2710
4728,5434,3770
1734,3679,3513
2877,1257,6445
484,5128,4714
6204,2042,4034
3608,2684,4613
5505,452,1339
5973,1653,113
1384,555,5427
6297,5261,6145
3216,4366,1220
1415,1853,3361
4422,5286,836
4801,1237,2428
1176,2279,1012
1125,2470,1684
1417,5554,5948
162,3637,3766
4278,3824,4051
728,1612,2215
2068,3177,1106
1908,6372,3823
4593,3327,166
5873,863,1091
2414,3915,3269
3518,6247,5378
467,4276,741
2031,213,159
5195,2151,2174
6401,571,4129
5950,696,6129
203,1102,3659
2678,2907,435
6417,5147,2818
3284,664,5475
6064,2463,3742
137,812,146
6433,3033,1069
4112,2206,5322
6036,5555,326
5025,4462,2354
2246,2291,347
926,1451,5512
5022,497,3124
444,4320,5104
6542,1765,2753
1226,2373,4145
734,1099,3136
866,2065,165
515,2379,5334
2380,3062,4888
625,2562,4560
2173,1164,6615
3426,2099,1865
4229,4920,1160
5815,2485,1249
4476,211,5778
2050,1379,4465
5161,6737,6459
2968,5044,1917
2508,4125,2558
4438,4812,2975
5968,2446,4512
1212,6621,3646
4161,4883,3916
716,454,4165
4603,3482,2307
848,1577,2523
1578,6649,6594
3903,4868,5299
1478,164,4732
2027,6072,1763
5930,4944,6632
6634,4235,3582
553,2095,6710
3733,3642,1230
5384,5515,6409
87,1927,3384
4621,2633,5181
6436,3765,1224
1995,824,5947
3427,5680,4611
6726,5836,5260
6147,2389,3836
6580,6491,5059
25,3940,4260
5310,206,1507
6757,5539,1298
1587,1174,574
1622,2004,6577
4533,2649,2384
2253,1403,366
2873,3586,1935
3869,3356,2137
4453,4289,1411
4725,4225,2026
1449,589,4228
3175,3577,3036
3182,3200,2848
2823,175,1137
3380,2718,6652
3132,4490,1246
3064,5408,1645
6123,5992,2828
3917,2728,3673
2358,4853,2510
2668,5052,4875
6596,1559,790
4787,5360,2108
1819,1017,5746
1629,2424,3047
2240,845,1331
6184,1524,2477
4023,4835,5742
4872,5166,1316
2612,4243,4797
4741,2431,3024
529,6755,1013
6600,2832,3254
2361,3439,4688
5874,6133,4181
6196,2416,3815
2196,2249,4147
3527,1136,1133
4599,2805,6307
