train_indices,valid_indices,test_indices
507,4417,5676
6787,305,2347
750,139,5641
3547,6552,4106
2561,5177,3294
6274,4964,2998
901,6044,3765
3000,6348,487
6771,805,6909
5612,6067,4757
2544,617,5826
3648,1983,2307
3087,6884,4799
4347,6006,4844
3544,5941,6115
1157,5201,4565
3978,4575,6745
3244,5261,5719
3447,3472,2166
5569,5301,6042
2650,2547,842
5419,297,1746
3168,6419,1467
3844,6089,1767
218,2177,567
1422,4195,3532
3254,3433,3322
6105,946,1286
2893,2087,6294
6206,6737,3980
3510,5923,358
1208,3798,4232
6356,5322,6937
2535,5959,3511
1155,1962,4086
1213,2817,4702
370,2832,6908
1335,5577,1303
2025,6352,6671
933,393,4950
1697,362,3965
1613,5946,2590
4876,6401,2927
4186,1455,3982
6099,6694,6393
2109,5073,2189
848,3961,1695
3084,6727,671
2428,4125,6227
2409,2271,4772
2613,1107,5010
2061,6561,3848
4715,4722,5785
117,2761,1675
6541,3264,3553
556,3321,2188
3786,2298,6095
392,5157,4199
6443,5957,2402
2408,1852,4751
2611,3086,2603
3535,5278,6032
6668,1942,4820
1616,521,4673
1120,389,6543
1383,3806,2416
5869,5552,4253
5179,1754,2569
5598,4665,5617
4555,206,3880
6017,6054,6477
52,2540,5180
3468,5020,1139
951,5772,5867
1941,5294,8
1951,1367,6007
5231,5145,2741
894,5138,1809
1572,4312,1237
3054,1670,4830
135,2515,4348
1406,2383,3316
1016,1566,3423
397,5482,3368
1388,1812,1882
1873,4948,46
4425,6198,6886
3644,3968,3750
1608,4329,3283
27,86,2911
4042,5335,202
3442,2659,6573
1904,4337,4099
1548,3326,3072
4210,4194,5256
5649,16,674
5591,2788,2725
160,1686,3853
3857,262,3006
3459,6627,1263
5637,3334,1857
6966,2434,4051
3417,5839,2757
4143,496,3484
4293,1916,5514
1268,5008,2939
3512,5475,226
3253,423,6390
772,5533,1869
6171,4558,919
3565,2815,380
4842,3406,2798
2522,3631,2519
5101,3121,6842
2342,569,4925
6053,4587,2381
2149,5684,5828
4668,6918,3906
100,6956,2396
2955,1643,1392
5019,6795,2404
880,5820,2104
4606,6482,1273
5110,2430,888
526,2974,1515
2016,4035,1368
3332,5896,885
5466,5520,4274
2028,5431,3928
4893,6097,6939
6995,1751,4621
2548,3658,1144
111,2488,2775
2840,6093,6607
4732,3836,5840
5283,5285,3505
4740,4540,1445
6599,1058,624
6597,4762,911
1815,1161,5062
3328,3001,2656
196,5086,5859
2786,1356,6362
3760,2918,1030
5534,571,2343
3160,3246,4521
1593,5416,4881
5442,3661,21
6488,3883,6618
4485,327,3991
5638,6423,2226
1775,3582,4056
4206,5198,5360
6988,1915,3113
2507,6350,5236
5249,2932,5031
4476,2532,4451
5525,2602,1437
5080,2155,3119
4530,2726,6796
3924,6761,3787
3260,3753,5732
4457,6416,5055
5264,4794,2883
6208,1027,4028
5407,6834,2443
4438,3091,5132
1495,5245,5726
5608,1959,4610
5630,2537,6176
5081,2530,3802
2424,3622,1172
445,5314,6172
1669,2657,3362
3749,4674,3150
1063,6772,3835
4384,1673,2077
90,2557,827
2377,6701,5364
5904,3570,5683
2967,1911,1421
5632,1524,2808
7,6487,3259
2405,4389,2289
5049,1944,6790
4466,3206,2887
3628,4356,40
4886,2743,1426
1783,4992,2700
2552,1418,5347
6470,2285,6001
2450,4209,5651
1333,5803,3405
6658,5847,2762
201,2594,1041
6587,4222,5269
5191,1416,5560
6707,3529,5787
3190,3640,6235
3180,2855,3746
3639,1195,5296
2004,3080,4178
2175,1320,6108
3727,448,4442
6377,1856,3862
349,5939,6288
3811,3995,5461
6903,1934,2821
5218,777,148
1644,4053,2129
6690,3846,2203
1315,914,3078
3051,241,5169
6686,3494,748
4622,6545,3703
3996,1088,3189
2870,3372,1762
94,2823,1595
1385,6023,4651
2565,3015,2516
229,2193,1518
161,4472,3184
2818,5479,403
3764,1638,3623
2689,6196,5458
6170,6765,2062
1970,4254,1509
5827,2721,6565
